State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Bajra,Dec - 2021,Mandi Modal Price (AgMarknet),1692.75,Prices,Rs/Qtl
All India,Bajra,Dec - 2021,Mandi Arrival Quantity (AgMarknet),124622.22,Arrivals,Tonnes
All India,Bajra,Jan - 2022,Mandi Modal Price (AgMarknet),1726.7,Prices,Rs/Qtl
All India,Bajra,Jan - 2022,Mandi Arrival Quantity (AgMarknet),98643.47,Arrivals,Tonnes
All India,Bajra,Feb - 2022,Mandi Modal Price (AgMarknet),1811.67,Prices,Rs/Qtl
All India,Bajra,Feb - 2022,Mandi Arrival Quantity (AgMarknet),65239.81,Arrivals,Tonnes
All India,Bajra,Mar - 2022,Mandi Modal Price (AgMarknet),1974.27,Prices,Rs/Qtl
All India,Bajra,Mar - 2022,Mandi Arrival Quantity (AgMarknet),50657.0,Arrivals,Tonnes
All India,Bajra,Apr - 2022,Mandi Modal Price (AgMarknet),2125.48,Prices,Rs/Qtl
All India,Bajra,Apr - 2022,Mandi Arrival Quantity (AgMarknet),44072.04,Arrivals,Tonnes
All India,Bajra,May - 2022,Mandi Arrival Quantity (AgMarknet),46261.1,Arrivals,Tonnes
All India,Bajra,May - 2022,Mandi Modal Price (AgMarknet),2093.59,Prices,Rs/Qtl
All India,Bajra,Jun - 2022,Mandi Arrival Quantity (AgMarknet),69233.23,Arrivals,Tonnes
All India,Bajra,Jun - 2022,Mandi Modal Price (AgMarknet),2099.09,Prices,Rs/Qtl
All India,Bajra,Jul - 2022,Mandi Modal Price (AgMarknet),2036.71,Prices,Rs/Qtl
All India,Bajra,Jul - 2022,Mandi Arrival Quantity (AgMarknet),61951.15,Arrivals,Tonnes
All India,Bajra,Aug - 2022,Mandi Modal Price (AgMarknet),2109.35,Prices,Rs/Qtl
All India,Bajra,Aug - 2022,Mandi Arrival Quantity (AgMarknet),50463.92,Arrivals,Tonnes
All India,Bajra,Sep - 2022,Mandi Modal Price (AgMarknet),1832.75,Prices,Rs/Qtl
All India,Bajra,Sep - 2022,Mandi Arrival Quantity (AgMarknet),133681.93,Arrivals,Tonnes
All India,Bajra,Oct - 2022,Mandi Modal Price (AgMarknet),1813.47,Prices,Rs/Qtl
All India,Bajra,Oct - 2022,Mandi Arrival Quantity (AgMarknet),208383.5,Arrivals,Tonnes
All India,Bajra,Nov - 2022,Mandi Modal Price (AgMarknet),2099.68,Prices,Rs/Qtl
All India,Bajra,Nov - 2022,Mandi Arrival Quantity (AgMarknet),187937.92,Arrivals,Tonnes
All India,Bajra,Dec - 2022,Mandi Arrival Quantity (AgMarknet),134358.27,Arrivals,Tonnes
All India,Bajra,Dec - 2022,Mandi Modal Price (AgMarknet),2212.38,Prices,Rs/Qtl
All India,Bajra,Jan - 2023,Mandi Arrival Quantity (AgMarknet),82769.21,Arrivals,Tonnes
All India,Bajra,Jan - 2023,Mandi Modal Price (AgMarknet),2309.42,Prices,Rs/Qtl
All India,Bajra,Feb - 2023,Mandi Modal Price (AgMarknet),2279.85,Prices,Rs/Qtl
All India,Bajra,Feb - 2023,Mandi Arrival Quantity (AgMarknet),57639.01,Arrivals,Tonnes
All India,Bajra,Mar - 2023,Mandi Arrival Quantity (AgMarknet),38988.78,Arrivals,Tonnes
All India,Bajra,Mar - 2023,Mandi Modal Price (AgMarknet),2260.4,Prices,Rs/Qtl
