State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Barley,Dec - 2021,Mandi Modal Price (AgMarknet),2011.91,Prices,Rs/Qtl
All India,Barley,Dec - 2021,Mandi Arrival Quantity (AgMarknet),5976.72,Arrivals,Tonnes
All India,Barley,Jan - 2022,Mandi Modal Price (AgMarknet),2044.31,Prices,Rs/Qtl
All India,Barley,Jan - 2022,Mandi Arrival Quantity (AgMarknet),6474.24,Arrivals,Tonnes
All India,Barley,Feb - 2022,Mandi Modal Price (AgMarknet),2101.1,Prices,Rs/Qtl
All India,Barley,Feb - 2022,Mandi Arrival Quantity (AgMarknet),4807.6,Arrivals,Tonnes
All India,Barley,Mar - 2022,Mandi Modal Price (AgMarknet),2592.24,Prices,Rs/Qtl
All India,Barley,Mar - 2022,Mandi Arrival Quantity (AgMarknet),71236.76,Arrivals,Tonnes
All India,Barley,Apr - 2022,Mandi Modal Price (AgMarknet),2722.78,Prices,Rs/Qtl
All India,Barley,Apr - 2022,Mandi Arrival Quantity (AgMarknet),123025.8,Arrivals,Tonnes
All India,Barley,May - 2022,Mandi Arrival Quantity (AgMarknet),42142.2,Arrivals,Tonnes
All India,Barley,May - 2022,Mandi Modal Price (AgMarknet),2605.58,Prices,Rs/Qtl
All India,Barley,Jun - 2022,Mandi Arrival Quantity (AgMarknet),22079.82,Arrivals,Tonnes
All India,Barley,Jun - 2022,Mandi Modal Price (AgMarknet),2501.04,Prices,Rs/Qtl
All India,Barley,Jul - 2022,Mandi Modal Price (AgMarknet),2494.46,Prices,Rs/Qtl
All India,Barley,Jul - 2022,Mandi Arrival Quantity (AgMarknet),13745.1,Arrivals,Tonnes
All India,Barley,Aug - 2022,Mandi Modal Price (AgMarknet),2571.41,Prices,Rs/Qtl
All India,Barley,Aug - 2022,Mandi Arrival Quantity (AgMarknet),10061.97,Arrivals,Tonnes
All India,Barley,Sep - 2022,Mandi Modal Price (AgMarknet),2602.77,Prices,Rs/Qtl
All India,Barley,Sep - 2022,Mandi Arrival Quantity (AgMarknet),9756.5,Arrivals,Tonnes
All India,Barley,Oct - 2022,Mandi Modal Price (AgMarknet),2613.25,Prices,Rs/Qtl
All India,Barley,Oct - 2022,Mandi Arrival Quantity (AgMarknet),8102.87,Arrivals,Tonnes
All India,Barley,Nov - 2022,Mandi Modal Price (AgMarknet),2641.52,Prices,Rs/Qtl
All India,Barley,Nov - 2022,Mandi Arrival Quantity (AgMarknet),11273.58,Arrivals,Tonnes
All India,Barley,Dec - 2022,Mandi Arrival Quantity (AgMarknet),9608.4,Arrivals,Tonnes
All India,Barley,Dec - 2022,Mandi Modal Price (AgMarknet),2723.38,Prices,Rs/Qtl
