State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Cowpea,Dec - 2021,Mandi Modal Price (AgMarknet),6805.12,Prices,Rs/Qtl
All India,Cowpea,Dec - 2021,Mandi Arrival Quantity (AgMarknet),2067.66,Arrivals,Tonnes
All India,Cowpea,Jan - 2022,Mandi Modal Price (AgMarknet),6664.61,Prices,Rs/Qtl
All India,Cowpea,Jan - 2022,Mandi Arrival Quantity (AgMarknet),2135.55,Arrivals,Tonnes
All India,Cowpea,Feb - 2022,Mandi Modal Price (AgMarknet),6695.18,Prices,Rs/Qtl
All India,Cowpea,Feb - 2022,Mandi Arrival Quantity (AgMarknet),1683.79,Arrivals,Tonnes
All India,Cowpea,Mar - 2022,Mandi Modal Price (AgMarknet),6766.52,Prices,Rs/Qtl
All India,Cowpea,Mar - 2022,Mandi Arrival Quantity (AgMarknet),1971.87,Arrivals,Tonnes
All India,Cowpea,Apr - 2022,Mandi Modal Price (AgMarknet),7472.65,Prices,Rs/Qtl
All India,Cowpea,Apr - 2022,Mandi Arrival Quantity (AgMarknet),1776.42,Arrivals,Tonnes
All India,Cowpea,May - 2022,Mandi Arrival Quantity (AgMarknet),1284.04,Arrivals,Tonnes
All India,Cowpea,May - 2022,Mandi Modal Price (AgMarknet),6790.72,Prices,Rs/Qtl
All India,Cowpea,Jun - 2022,Mandi Arrival Quantity (AgMarknet),1206.87,Arrivals,Tonnes
All India,Cowpea,Jun - 2022,Mandi Modal Price (AgMarknet),8046.2,Prices,Rs/Qtl
All India,Cowpea,Jul - 2022,Mandi Modal Price (AgMarknet),7512.91,Prices,Rs/Qtl
All India,Cowpea,Jul - 2022,Mandi Arrival Quantity (AgMarknet),1273.04,Arrivals,Tonnes
All India,Cowpea,Aug - 2022,Mandi Modal Price (AgMarknet),7206.94,Prices,Rs/Qtl
All India,Cowpea,Aug - 2022,Mandi Arrival Quantity (AgMarknet),2179.77,Arrivals,Tonnes
All India,Cowpea,Sep - 2022,Mandi Modal Price (AgMarknet),6754.34,Prices,Rs/Qtl
All India,Cowpea,Sep - 2022,Mandi Arrival Quantity (AgMarknet),1887.15,Arrivals,Tonnes
All India,Cowpea,Oct - 2022,Mandi Modal Price (AgMarknet),7402.24,Prices,Rs/Qtl
All India,Cowpea,Oct - 2022,Mandi Arrival Quantity (AgMarknet),1428.61,Arrivals,Tonnes
All India,Cowpea,Nov - 2022,Mandi Modal Price (AgMarknet),7684.78,Prices,Rs/Qtl
All India,Cowpea,Nov - 2022,Mandi Arrival Quantity (AgMarknet),898.92,Arrivals,Tonnes
All India,Cowpea,Dec - 2022,Mandi Arrival Quantity (AgMarknet),1379.8,Arrivals,Tonnes
All India,Cowpea,Dec - 2022,Mandi Modal Price (AgMarknet),12876.27,Prices,Rs/Qtl
All India,Cowpea,Jan - 2023,Mandi Arrival Quantity (AgMarknet),849.58,Arrivals,Tonnes
All India,Cowpea,Jan - 2023,Mandi Modal Price (AgMarknet),7274.49,Prices,Rs/Qtl
All India,Cowpea,Feb - 2023,Mandi Modal Price (AgMarknet),7314.51,Prices,Rs/Qtl
All India,Cowpea,Feb - 2023,Mandi Arrival Quantity (AgMarknet),1309.63,Arrivals,Tonnes
All India,Cowpea,Mar - 2023,Mandi Arrival Quantity (AgMarknet),1274.08,Arrivals,Tonnes
All India,Cowpea,Mar - 2023,Mandi Modal Price (AgMarknet),7148.31,Prices,Rs/Qtl
All India,Cowpea,Apr - 2023,Mandi Arrival Quantity (AgMarknet),892.44,Arrivals,Tonnes
All India,Cowpea,Apr - 2023,Mandi Modal Price (AgMarknet),7287.91,Prices,Rs/Qtl
All India,Cowpea,May - 2023,Mandi Modal Price (AgMarknet),7686.5,Prices,Rs/Qtl
All India,Cowpea,May - 2023,Mandi Arrival Quantity (AgMarknet),1257.69,Arrivals,Tonnes
All India,Cowpea,Jun - 2023,Mandi Arrival Quantity (AgMarknet),1056.93,Arrivals,Tonnes
All India,Cowpea,Jun - 2023,Mandi Modal Price (AgMarknet),8258.61,Prices,Rs/Qtl
All India,Cowpea,Jul - 2023,Mandi Arrival Quantity (AgMarknet),1025.54,Arrivals,Tonnes
All India,Cowpea,Jul - 2023,Mandi Modal Price (AgMarknet),8800.5,Prices,Rs/Qtl
All India,Cowpea,Aug - 2023,Mandi Arrival Quantity (AgMarknet),1251.81,Arrivals,Tonnes
All India,Cowpea,Aug - 2023,Mandi Modal Price (AgMarknet),8880.35,Prices,Rs/Qtl
All India,Cowpea,Sep - 2023,Mandi Modal Price (AgMarknet),8862.79,Prices,Rs/Qtl
All India,Cowpea,Sep - 2023,Mandi Arrival Quantity (AgMarknet),999.22,Arrivals,Tonnes
All India,Cowpea,Oct - 2023,Mandi Arrival Quantity (AgMarknet),1091.03,Arrivals,Tonnes
All India,Cowpea,Oct - 2023,Mandi Modal Price (AgMarknet),8479.25,Prices,Rs/Qtl
All India,Cowpea,Nov - 2023,Mandi Modal Price (AgMarknet),8619.44,Prices,Rs/Qtl
All India,Cowpea,Nov - 2023,Mandi Arrival Quantity (AgMarknet),1099.6,Arrivals,Tonnes
All India,Cowpea,Dec - 2023,Mandi Arrival Quantity (AgMarknet),927.11,Arrivals,Tonnes
All India,Cowpea,Dec - 2023,Mandi Modal Price (AgMarknet),8977.92,Prices,Rs/Qtl
All India,Cowpea,Jan - 2024,Mandi Modal Price (AgMarknet),9087.02,Prices,Rs/Qtl
All India,Cowpea,Jan - 2024,Mandi Arrival Quantity (AgMarknet),845.77,Arrivals,Tonnes
All India,Cowpea,Feb - 2024,Mandi Arrival Quantity (AgMarknet),1301.89,Arrivals,Tonnes
All India,Cowpea,Feb - 2024,Mandi Modal Price (AgMarknet),8953.65,Prices,Rs/Qtl
All India,Cowpea,Mar - 2024,Mandi Arrival Quantity (AgMarknet),1510.77,Arrivals,Tonnes
All India,Cowpea,Mar - 2024,Mandi Modal Price (AgMarknet),8631.18,Prices,Rs/Qtl
All India,Cowpea,Apr - 2024,Mandi Arrival Quantity (AgMarknet),1365.28,Arrivals,Tonnes
All India,Cowpea,Apr - 2024,Mandi Modal Price (AgMarknet),8828.62,Prices,Rs/Qtl
All India,Cowpea,May - 2024,Mandi Arrival Quantity (AgMarknet),1284.5,Arrivals,Tonnes
All India,Cowpea,May - 2024,Mandi Modal Price (AgMarknet),10056.83,Prices,Rs/Qtl
All India,Cowpea,Jun - 2024,Mandi Arrival Quantity (AgMarknet),584.95,Arrivals,Tonnes
All India,Cowpea,Jun - 2024,Mandi Modal Price (AgMarknet),9619.97,Prices,Rs/Qtl
All India,Cowpea,Jul - 2024,Mandi Arrival Quantity (AgMarknet),1035.26,Arrivals,Tonnes
All India,Cowpea,Jul - 2024,Mandi Modal Price (AgMarknet),10124.4,Prices,Rs/Qtl
All India,Cowpea,Aug - 2024,Mandi Modal Price (AgMarknet),8457.6,Prices,Rs/Qtl
All India,Cowpea,Aug - 2024,Mandi Arrival Quantity (AgMarknet),4110.65,Arrivals,Tonnes
All India,Cowpea,Sep - 2024,Mandi Arrival Quantity (AgMarknet),2508.73,Arrivals,Tonnes
All India,Cowpea,Sep - 2024,Mandi Modal Price (AgMarknet),8172.47,Prices,Rs/Qtl
All India,Cowpea,Oct - 2024,Mandi Arrival Quantity (AgMarknet),2585.75,Arrivals,Tonnes
All India,Cowpea,Oct - 2024,Mandi Modal Price (AgMarknet),7589.92,Prices,Rs/Qtl
All India,Cowpea,Nov - 2024,Mandi Modal Price (AgMarknet),8061.2,Prices,Rs/Qtl
All India,Cowpea,Nov - 2024,Mandi Arrival Quantity (AgMarknet),2126.32,Arrivals,Tonnes
All India,Cowpea,Dec - 2024,Mandi Modal Price (AgMarknet),7214.6,Prices,Rs/Qtl
All India,Cowpea,Dec - 2024,Mandi Arrival Quantity (AgMarknet),1907.63,Arrivals,Tonnes
All India,Cowpea,Jan - 2025,Mandi Modal Price (AgMarknet),7539.86,Prices,Rs/Qtl
All India,Cowpea,Jan - 2025,Mandi Arrival Quantity (AgMarknet),1561.62,Arrivals,Tonnes
All India,Cowpea,Feb - 2025,Mandi Modal Price (AgMarknet),8017.11,Prices,Rs/Qtl
All India,Cowpea,Feb - 2025,Mandi Arrival Quantity (AgMarknet),1509.04,Arrivals,Tonnes
All India,Cowpea,Mar - 2025,Mandi Arrival Quantity (AgMarknet),1167.23,Arrivals,Tonnes
All India,Cowpea,Mar - 2025,Mandi Modal Price (AgMarknet),7804.95,Prices,Rs/Qtl
All India,Cowpea,Apr - 2025,Mandi Modal Price (AgMarknet),9067.67,Prices,Rs/Qtl
All India,Cowpea,Apr - 2025,Mandi Arrival Quantity (AgMarknet),1336.48,Arrivals,Tonnes
All India,Cowpea,May - 2025,Mandi Arrival Quantity (AgMarknet),1662.56,Arrivals,Tonnes
All India,Cowpea,May - 2025,Mandi Modal Price (AgMarknet),5473.97,Prices,Rs/Qtl
All India,Cowpea,Jun - 2025,Mandi Arrival Quantity (AgMarknet),1164.14,Arrivals,Tonnes
All India,Cowpea,Jun - 2025,Mandi Modal Price (AgMarknet),8066.85,Prices,Rs/Qtl
All India,Cowpea,Jul - 2025,Mandi Modal Price (AgMarknet),7472.85,Prices,Rs/Qtl
All India,Cowpea,Jul - 2025,Mandi Arrival Quantity (AgMarknet),1298.89,Arrivals,Tonnes
All India,Cowpea,Aug - 2025,Mandi Modal Price (AgMarknet),8627.06,Prices,Rs/Qtl
All India,Cowpea,Aug - 2025,Mandi Arrival Quantity (AgMarknet),1191.78,Arrivals,Tonnes
All India,Cowpea,Sep - 2025,Mandi Arrival Quantity (AgMarknet),1635.93,Arrivals,Tonnes
All India,Cowpea,Sep - 2025,Mandi Modal Price (AgMarknet),7554.56,Prices,Rs/Qtl
All India,Cowpea,Oct - 2025,Mandi Arrival Quantity (AgMarknet),2174.91,Arrivals,Tonnes
All India,Cowpea,Oct - 2025,Mandi Modal Price (AgMarknet),6178.58,Prices,Rs/Qtl
All India,Cowpea,Nov - 2025,Mandi Modal Price (AgMarknet),6362.13,Prices,Rs/Qtl
All India,Cowpea,Nov - 2025,Mandi Arrival Quantity (AgMarknet),249.5,Arrivals,Tonnes
