State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Gram,Dec - 2021,Mandi Modal Price (AgMarknet),4681.86,Prices,Rs/Qtl
All India,Gram,Dec - 2021,Mandi Arrival Quantity (AgMarknet),96545.23,Arrivals,Tonnes
All India,Gram,Jan - 2022,Mandi Modal Price (AgMarknet),5045.61,Prices,Rs/Qtl
All India,Gram,Jan - 2022,Mandi Arrival Quantity (AgMarknet),96682.68,Arrivals,Tonnes
All India,Gram,Feb - 2022,Mandi Modal Price (AgMarknet),4701.9,Prices,Rs/Qtl
All India,Gram,Feb - 2022,Mandi Arrival Quantity (AgMarknet),168042.36,Arrivals,Tonnes
All India,Gram,Mar - 2022,Mandi Modal Price (AgMarknet),4661.3,Prices,Rs/Qtl
All India,Gram,Mar - 2022,Mandi Arrival Quantity (AgMarknet),501862.91,Arrivals,Tonnes
All India,Gram,Apr - 2022,Mandi Modal Price (AgMarknet),4707.32,Prices,Rs/Qtl
All India,Gram,Apr - 2022,Mandi Arrival Quantity (AgMarknet),575231.61,Arrivals,Tonnes
All India,Gram,May - 2022,Mandi Arrival Quantity (AgMarknet),361710.22,Arrivals,Tonnes
All India,Gram,May - 2022,Mandi Modal Price (AgMarknet),4611.45,Prices,Rs/Qtl
All India,Gram,Jun - 2022,Mandi Arrival Quantity (AgMarknet),244963.28,Arrivals,Tonnes
All India,Gram,Jun - 2022,Mandi Modal Price (AgMarknet),4586.79,Prices,Rs/Qtl
All India,Gram,Jul - 2022,Mandi Modal Price (AgMarknet),4724.18,Prices,Rs/Qtl
All India,Gram,Jul - 2022,Mandi Arrival Quantity (AgMarknet),158290.42,Arrivals,Tonnes
All India,Gram,Aug - 2022,Mandi Modal Price (AgMarknet),4858.98,Prices,Rs/Qtl
All India,Gram,Aug - 2022,Mandi Arrival Quantity (AgMarknet),109579.34,Arrivals,Tonnes
All India,Gram,Sep - 2022,Mandi Modal Price (AgMarknet),4782.95,Prices,Rs/Qtl
All India,Gram,Sep - 2022,Mandi Arrival Quantity (AgMarknet),94409.45,Arrivals,Tonnes
All India,Gram,Oct - 2022,Mandi Modal Price (AgMarknet),4785.92,Prices,Rs/Qtl
All India,Gram,Oct - 2022,Mandi Arrival Quantity (AgMarknet),84909.2,Arrivals,Tonnes
All India,Gram,Nov - 2022,Mandi Modal Price (AgMarknet),4730.7,Prices,Rs/Qtl
All India,Gram,Nov - 2022,Mandi Arrival Quantity (AgMarknet),112780.59,Arrivals,Tonnes
All India,Gram,Dec - 2022,Mandi Arrival Quantity (AgMarknet),103817.34,Arrivals,Tonnes
All India,Gram,Dec - 2022,Mandi Modal Price (AgMarknet),4861.69,Prices,Rs/Qtl
All India,Gram,Jan - 2023,Mandi Arrival Quantity (AgMarknet),75925.71,Arrivals,Tonnes
All India,Gram,Jan - 2023,Mandi Modal Price (AgMarknet),4947.24,Prices,Rs/Qtl
All India,Gram,Feb - 2023,Mandi Modal Price (AgMarknet),4854.21,Prices,Rs/Qtl
All India,Gram,Feb - 2023,Mandi Arrival Quantity (AgMarknet),246688.66,Arrivals,Tonnes
All India,Gram,Mar - 2023,Mandi Arrival Quantity (AgMarknet),443532.25,Arrivals,Tonnes
All India,Gram,Mar - 2023,Mandi Modal Price (AgMarknet),4817.9,Prices,Rs/Qtl
All India,Gram,Apr - 2023,Mandi Arrival Quantity (AgMarknet),344746.83,Arrivals,Tonnes
All India,Gram,Apr - 2023,Mandi Modal Price (AgMarknet),4943.29,Prices,Rs/Qtl
All India,Gram,May - 2023,Mandi Modal Price (AgMarknet),4987.97,Prices,Rs/Qtl
All India,Gram,May - 2023,Mandi Arrival Quantity (AgMarknet),258226.04,Arrivals,Tonnes
All India,Gram,Jun - 2023,Mandi Arrival Quantity (AgMarknet),148917.4,Arrivals,Tonnes
All India,Gram,Jun - 2023,Mandi Modal Price (AgMarknet),5094.95,Prices,Rs/Qtl
All India,Gram,Jul - 2023,Mandi Arrival Quantity (AgMarknet),101590.41,Arrivals,Tonnes
All India,Gram,Jul - 2023,Mandi Modal Price (AgMarknet),5142.73,Prices,Rs/Qtl
All India,Gram,Aug - 2023,Mandi Arrival Quantity (AgMarknet),86862.23,Arrivals,Tonnes
All India,Gram,Aug - 2023,Mandi Modal Price (AgMarknet),5584.09,Prices,Rs/Qtl
All India,Gram,Sep - 2023,Mandi Modal Price (AgMarknet),6069.63,Prices,Rs/Qtl
All India,Gram,Sep - 2023,Mandi Arrival Quantity (AgMarknet),68009.71,Arrivals,Tonnes
All India,Gram,Oct - 2023,Mandi Arrival Quantity (AgMarknet),83510.3,Arrivals,Tonnes
All India,Gram,Oct - 2023,Mandi Modal Price (AgMarknet),5991.57,Prices,Rs/Qtl
All India,Gram,Nov - 2023,Mandi Modal Price (AgMarknet),6178.54,Prices,Rs/Qtl
All India,Gram,Nov - 2023,Mandi Arrival Quantity (AgMarknet),55078.0,Arrivals,Tonnes
All India,Gram,Dec - 2023,Mandi Arrival Quantity (AgMarknet),41888.0,Arrivals,Tonnes
All India,Gram,Dec - 2023,Mandi Modal Price (AgMarknet),6032.89,Prices,Rs/Qtl
All India,Gram,Jan - 2024,Mandi Modal Price (AgMarknet),5962.0,Prices,Rs/Qtl
All India,Gram,Jan - 2024,Mandi Arrival Quantity (AgMarknet),45480.79,Arrivals,Tonnes
All India,Gram,Feb - 2024,Mandi Arrival Quantity (AgMarknet),177652.69,Arrivals,Tonnes
All India,Gram,Feb - 2024,Mandi Modal Price (AgMarknet),5830.25,Prices,Rs/Qtl
All India,Gram,Mar - 2024,Mandi Arrival Quantity (AgMarknet),448213.7,Arrivals,Tonnes
All India,Gram,Mar - 2024,Mandi Modal Price (AgMarknet),5512.9,Prices,Rs/Qtl
All India,Gram,Apr - 2024,Mandi Arrival Quantity (AgMarknet),365828.3,Arrivals,Tonnes
All India,Gram,Apr - 2024,Mandi Modal Price (AgMarknet),5708.58,Prices,Rs/Qtl
All India,Gram,May - 2024,Mandi Arrival Quantity (AgMarknet),249459.26,Arrivals,Tonnes
All India,Gram,May - 2024,Mandi Modal Price (AgMarknet),6153.29,Prices,Rs/Qtl
All India,Gram,Jun - 2024,Mandi Arrival Quantity (AgMarknet),108861.07,Arrivals,Tonnes
All India,Gram,Jun - 2024,Mandi Modal Price (AgMarknet),6569.45,Prices,Rs/Qtl
All India,Gram,Jul - 2024,Mandi Arrival Quantity (AgMarknet),82851.88,Arrivals,Tonnes
All India,Gram,Jul - 2024,Mandi Modal Price (AgMarknet),6563.34,Prices,Rs/Qtl
All India,Gram,Aug - 2024,Mandi Modal Price (AgMarknet),7294.43,Prices,Rs/Qtl
All India,Gram,Aug - 2024,Mandi Arrival Quantity (AgMarknet),104462.89,Arrivals,Tonnes
All India,Gram,Sep - 2024,Mandi Arrival Quantity (AgMarknet),83240.05,Arrivals,Tonnes
All India,Gram,Sep - 2024,Mandi Modal Price (AgMarknet),7194.19,Prices,Rs/Qtl
All India,Gram,Oct - 2024,Mandi Arrival Quantity (AgMarknet),73126.12,Arrivals,Tonnes
All India,Gram,Oct - 2024,Mandi Modal Price (AgMarknet),6985.9,Prices,Rs/Qtl
All India,Gram,Nov - 2024,Mandi Modal Price (AgMarknet),6681.2,Prices,Rs/Qtl
All India,Gram,Nov - 2024,Mandi Arrival Quantity (AgMarknet),72198.84,Arrivals,Tonnes
All India,Gram,Dec - 2024,Mandi Modal Price (AgMarknet),6509.78,Prices,Rs/Qtl
All India,Gram,Dec - 2024,Mandi Arrival Quantity (AgMarknet),78778.11,Arrivals,Tonnes
All India,Gram,Jan - 2025,Mandi Modal Price (AgMarknet),6339.95,Prices,Rs/Qtl
All India,Gram,Jan - 2025,Mandi Arrival Quantity (AgMarknet),71414.25,Arrivals,Tonnes
All India,Gram,Feb - 2025,Mandi Modal Price (AgMarknet),5773.39,Prices,Rs/Qtl
All India,Gram,Feb - 2025,Mandi Arrival Quantity (AgMarknet),236881.17,Arrivals,Tonnes
All India,Gram,Mar - 2025,Mandi Arrival Quantity (AgMarknet),504850.32,Arrivals,Tonnes
All India,Gram,Mar - 2025,Mandi Modal Price (AgMarknet),5418.04,Prices,Rs/Qtl
All India,Gram,Apr - 2025,Mandi Modal Price (AgMarknet),5599.93,Prices,Rs/Qtl
All India,Gram,Apr - 2025,Mandi Arrival Quantity (AgMarknet),568720.83,Arrivals,Tonnes
All India,Gram,May - 2025,Mandi Arrival Quantity (AgMarknet),309803.63,Arrivals,Tonnes
All India,Gram,May - 2025,Mandi Modal Price (AgMarknet),5636.35,Prices,Rs/Qtl
All India,Gram,Jun - 2025,Mandi Arrival Quantity (AgMarknet),199472.86,Arrivals,Tonnes
