State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Jowar,Dec - 2021,Mandi Modal Price (AgMarknet),2110.01,Prices,Rs/Qtl
All India,Jowar,Dec - 2021,Mandi Arrival Quantity (AgMarknet),37212.33,Arrivals,Tonnes
All India,Jowar,Jan - 2022,Mandi Modal Price (AgMarknet),2317.4,Prices,Rs/Qtl
All India,Jowar,Jan - 2022,Mandi Arrival Quantity (AgMarknet),31067.68,Arrivals,Tonnes
All India,Jowar,Feb - 2022,Mandi Modal Price (AgMarknet),2446.17,Prices,Rs/Qtl
All India,Jowar,Feb - 2022,Mandi Arrival Quantity (AgMarknet),23518.29,Arrivals,Tonnes
All India,Jowar,Mar - 2022,Mandi Modal Price (AgMarknet),2570.43,Prices,Rs/Qtl
All India,Jowar,Mar - 2022,Mandi Arrival Quantity (AgMarknet),34641.76,Arrivals,Tonnes
All India,Jowar,Apr - 2022,Mandi Modal Price (AgMarknet),2551.02,Prices,Rs/Qtl
All India,Jowar,Apr - 2022,Mandi Arrival Quantity (AgMarknet),34559.87,Arrivals,Tonnes
All India,Jowar,May - 2022,Mandi Arrival Quantity (AgMarknet),25276.51,Arrivals,Tonnes
All India,Jowar,May - 2022,Mandi Modal Price (AgMarknet),2541.82,Prices,Rs/Qtl
All India,Jowar,Jun - 2022,Mandi Arrival Quantity (AgMarknet),25853.43,Arrivals,Tonnes
All India,Jowar,Jun - 2022,Mandi Modal Price (AgMarknet),2720.96,Prices,Rs/Qtl
All India,Jowar,Jul - 2022,Mandi Modal Price (AgMarknet),2976.08,Prices,Rs/Qtl
All India,Jowar,Jul - 2022,Mandi Arrival Quantity (AgMarknet),23555.69,Arrivals,Tonnes
All India,Jowar,Aug - 2022,Mandi Modal Price (AgMarknet),2906.8,Prices,Rs/Qtl
All India,Jowar,Aug - 2022,Mandi Arrival Quantity (AgMarknet),15155.48,Arrivals,Tonnes
All India,Jowar,Sep - 2022,Mandi Modal Price (AgMarknet),2845.21,Prices,Rs/Qtl
All India,Jowar,Sep - 2022,Mandi Arrival Quantity (AgMarknet),13573.68,Arrivals,Tonnes
All India,Jowar,Oct - 2022,Mandi Modal Price (AgMarknet),2843.1,Prices,Rs/Qtl
All India,Jowar,Oct - 2022,Mandi Arrival Quantity (AgMarknet),19298.27,Arrivals,Tonnes
All India,Jowar,Nov - 2022,Mandi Modal Price (AgMarknet),3010.04,Prices,Rs/Qtl
All India,Jowar,Nov - 2022,Mandi Arrival Quantity (AgMarknet),30252.39,Arrivals,Tonnes
All India,Jowar,Dec - 2022,Mandi Arrival Quantity (AgMarknet),25357.58,Arrivals,Tonnes
All India,Jowar,Dec - 2022,Mandi Modal Price (AgMarknet),3636.94,Prices,Rs/Qtl
All India,Jowar,Jan - 2023,Mandi Arrival Quantity (AgMarknet),17026.45,Arrivals,Tonnes
All India,Jowar,Jan - 2023,Mandi Modal Price (AgMarknet),3725.37,Prices,Rs/Qtl
All India,Jowar,Feb - 2023,Mandi Modal Price (AgMarknet),3790.68,Prices,Rs/Qtl
All India,Jowar,Feb - 2023,Mandi Arrival Quantity (AgMarknet),20035.45,Arrivals,Tonnes
All India,Jowar,Mar - 2023,Mandi Arrival Quantity (AgMarknet),33059.82,Arrivals,Tonnes
All India,Jowar,Mar - 2023,Mandi Modal Price (AgMarknet),3739.71,Prices,Rs/Qtl
All India,Jowar,Apr - 2023,Mandi Arrival Quantity (AgMarknet),27520.54,Arrivals,Tonnes
