State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Kodo Millet,Dec - 2021,Mandi Modal Price (AgMarknet),2111.49,Prices,Rs/Qtl
All India,Kodo Millet,Dec - 2021,Mandi Arrival Quantity (AgMarknet),3171.49,Arrivals,Tonnes
All India,Kodo Millet,Jan - 2022,Mandi Modal Price (AgMarknet),2072.28,Prices,Rs/Qtl
All India,Kodo Millet,Jan - 2022,Mandi Arrival Quantity (AgMarknet),3542.1,Arrivals,Tonnes
All India,Kodo Millet,Feb - 2022,Mandi Modal Price (AgMarknet),2447.87,Prices,Rs/Qtl
All India,Kodo Millet,Feb - 2022,Mandi Arrival Quantity (AgMarknet),5532.47,Arrivals,Tonnes
All India,Kodo Millet,Mar - 2022,Mandi Modal Price (AgMarknet),2149.83,Prices,Rs/Qtl
All India,Kodo Millet,Mar - 2022,Mandi Arrival Quantity (AgMarknet),2893.7,Arrivals,Tonnes
All India,Kodo Millet,Apr - 2022,Mandi Modal Price (AgMarknet),2152.42,Prices,Rs/Qtl
All India,Kodo Millet,Apr - 2022,Mandi Arrival Quantity (AgMarknet),2749.5,Arrivals,Tonnes
All India,Kodo Millet,May - 2022,Mandi Arrival Quantity (AgMarknet),1915.33,Arrivals,Tonnes
All India,Kodo Millet,May - 2022,Mandi Modal Price (AgMarknet),2238.7,Prices,Rs/Qtl
All India,Kodo Millet,Jun - 2022,Mandi Arrival Quantity (AgMarknet),2544.2,Arrivals,Tonnes
All India,Kodo Millet,Jun - 2022,Mandi Modal Price (AgMarknet),2263.96,Prices,Rs/Qtl
All India,Kodo Millet,Jul - 2022,Mandi Modal Price (AgMarknet),2309.6,Prices,Rs/Qtl
All India,Kodo Millet,Jul - 2022,Mandi Arrival Quantity (AgMarknet),3282.94,Arrivals,Tonnes
All India,Kodo Millet,Aug - 2022,Mandi Modal Price (AgMarknet),2344.3,Prices,Rs/Qtl
All India,Kodo Millet,Aug - 2022,Mandi Arrival Quantity (AgMarknet),3311.52,Arrivals,Tonnes
All India,Kodo Millet,Sep - 2022,Mandi Modal Price (AgMarknet),2462.36,Prices,Rs/Qtl
All India,Kodo Millet,Sep - 2022,Mandi Arrival Quantity (AgMarknet),3282.85,Arrivals,Tonnes
All India,Kodo Millet,Oct - 2022,Mandi Modal Price (AgMarknet),2326.33,Prices,Rs/Qtl
All India,Kodo Millet,Oct - 2022,Mandi Arrival Quantity (AgMarknet),1804.18,Arrivals,Tonnes
All India,Kodo Millet,Nov - 2022,Mandi Modal Price (AgMarknet),2209.64,Prices,Rs/Qtl
All India,Kodo Millet,Nov - 2022,Mandi Arrival Quantity (AgMarknet),2745.8,Arrivals,Tonnes
All India,Kodo Millet,Dec - 2022,Mandi Arrival Quantity (AgMarknet),4700.37,Arrivals,Tonnes
All India,Kodo Millet,Dec - 2022,Mandi Modal Price (AgMarknet),2360.67,Prices,Rs/Qtl
All India,Kodo Millet,Jan - 2023,Mandi Arrival Quantity (AgMarknet),5511.08,Arrivals,Tonnes
All India,Kodo Millet,Jan - 2023,Mandi Modal Price (AgMarknet),2431.47,Prices,Rs/Qtl
All India,Kodo Millet,Feb - 2023,Mandi Modal Price (AgMarknet),2459.83,Prices,Rs/Qtl
All India,Kodo Millet,Feb - 2023,Mandi Arrival Quantity (AgMarknet),3973.06,Arrivals,Tonnes
All India,Kodo Millet,Mar - 2023,Mandi Arrival Quantity (AgMarknet),2427.58,Arrivals,Tonnes
All India,Kodo Millet,Mar - 2023,Mandi Modal Price (AgMarknet),2387.46,Prices,Rs/Qtl
All India,Kodo Millet,Apr - 2023,Mandi Arrival Quantity (AgMarknet),2443.19,Arrivals,Tonnes
All India,Kodo Millet,Apr - 2023,Mandi Modal Price (AgMarknet),2454.38,Prices,Rs/Qtl
All India,Kodo Millet,May - 2023,Mandi Modal Price (AgMarknet),2353.5,Prices,Rs/Qtl
All India,Kodo Millet,May - 2023,Mandi Arrival Quantity (AgMarknet),2500.32,Arrivals,Tonnes
All India,Kodo Millet,Jun - 2023,Mandi Arrival Quantity (AgMarknet),2041.82,Arrivals,Tonnes
All India,Kodo Millet,Jun - 2023,Mandi Modal Price (AgMarknet),2551.86,Prices,Rs/Qtl
All India,Kodo Millet,Jul - 2023,Mandi Arrival Quantity (AgMarknet),4745.16,Arrivals,Tonnes
All India,Kodo Millet,Jul - 2023,Mandi Modal Price (AgMarknet),2833.38,Prices,Rs/Qtl
All India,Kodo Millet,Aug - 2023,Mandi Arrival Quantity (AgMarknet),2774.9,Arrivals,Tonnes
All India,Kodo Millet,Aug - 2023,Mandi Modal Price (AgMarknet),3032.94,Prices,Rs/Qtl
All India,Kodo Millet,Sep - 2023,Mandi Modal Price (AgMarknet),2956.58,Prices,Rs/Qtl
All India,Kodo Millet,Sep - 2023,Mandi Arrival Quantity (AgMarknet),2618.64,Arrivals,Tonnes
All India,Kodo Millet,Oct - 2023,Mandi Arrival Quantity (AgMarknet),5707.04,Arrivals,Tonnes
All India,Kodo Millet,Oct - 2023,Mandi Modal Price (AgMarknet),2831.18,Prices,Rs/Qtl
All India,Kodo Millet,Nov - 2023,Mandi Modal Price (AgMarknet),2533.95,Prices,Rs/Qtl
All India,Kodo Millet,Nov - 2023,Mandi Arrival Quantity (AgMarknet),3096.21,Arrivals,Tonnes
All India,Kodo Millet,Dec - 2023,Mandi Arrival Quantity (AgMarknet),3680.75,Arrivals,Tonnes
All India,Kodo Millet,Dec - 2023,Mandi Modal Price (AgMarknet),2798.45,Prices,Rs/Qtl
All India,Kodo Millet,Jan - 2024,Mandi Modal Price (AgMarknet),2628.64,Prices,Rs/Qtl
All India,Kodo Millet,Jan - 2024,Mandi Arrival Quantity (AgMarknet),1371.8,Arrivals,Tonnes
All India,Kodo Millet,Feb - 2024,Mandi Arrival Quantity (AgMarknet),1223.61,Arrivals,Tonnes
All India,Kodo Millet,Feb - 2024,Mandi Modal Price (AgMarknet),2926.87,Prices,Rs/Qtl
All India,Kodo Millet,Mar - 2024,Mandi Arrival Quantity (AgMarknet),839.65,Arrivals,Tonnes
All India,Kodo Millet,Mar - 2024,Mandi Modal Price (AgMarknet),2794.16,Prices,Rs/Qtl
All India,Kodo Millet,Apr - 2024,Mandi Arrival Quantity (AgMarknet),404.73,Arrivals,Tonnes
All India,Kodo Millet,Apr - 2024,Mandi Modal Price (AgMarknet),3052.25,Prices,Rs/Qtl
