State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Kulthi,Dec - 2021,Mandi Modal Price (AgMarknet),4276.79,Prices,Rs/Qtl
All India,Kulthi,Dec - 2021,Mandi Arrival Quantity (AgMarknet),3781.76,Arrivals,Tonnes
All India,Kulthi,Jan - 2022,Mandi Modal Price (AgMarknet),4239.93,Prices,Rs/Qtl
All India,Kulthi,Jan - 2022,Mandi Arrival Quantity (AgMarknet),7040.96,Arrivals,Tonnes
All India,Kulthi,Feb - 2022,Mandi Modal Price (AgMarknet),4132.85,Prices,Rs/Qtl
All India,Kulthi,Feb - 2022,Mandi Arrival Quantity (AgMarknet),5952.4,Arrivals,Tonnes
All India,Kulthi,Mar - 2022,Mandi Modal Price (AgMarknet),4395.52,Prices,Rs/Qtl
All India,Kulthi,Mar - 2022,Mandi Arrival Quantity (AgMarknet),13294.35,Arrivals,Tonnes
All India,Kulthi,Apr - 2022,Mandi Modal Price (AgMarknet),4551.26,Prices,Rs/Qtl
All India,Kulthi,Apr - 2022,Mandi Arrival Quantity (AgMarknet),13476.94,Arrivals,Tonnes
All India,Kulthi,May - 2022,Mandi Arrival Quantity (AgMarknet),8064.77,Arrivals,Tonnes
All India,Kulthi,May - 2022,Mandi Modal Price (AgMarknet),4401.03,Prices,Rs/Qtl
All India,Kulthi,Jun - 2022,Mandi Arrival Quantity (AgMarknet),6303.79,Arrivals,Tonnes
All India,Kulthi,Jun - 2022,Mandi Modal Price (AgMarknet),4342.32,Prices,Rs/Qtl
All India,Kulthi,Jul - 2022,Mandi Modal Price (AgMarknet),4542.1,Prices,Rs/Qtl
All India,Kulthi,Jul - 2022,Mandi Arrival Quantity (AgMarknet),4669.11,Arrivals,Tonnes
All India,Kulthi,Aug - 2022,Mandi Modal Price (AgMarknet),4620.02,Prices,Rs/Qtl
All India,Kulthi,Aug - 2022,Mandi Arrival Quantity (AgMarknet),4889.23,Arrivals,Tonnes
All India,Kulthi,Sep - 2022,Mandi Modal Price (AgMarknet),4397.85,Prices,Rs/Qtl
All India,Kulthi,Sep - 2022,Mandi Arrival Quantity (AgMarknet),5857.05,Arrivals,Tonnes
All India,Kulthi,Oct - 2022,Mandi Modal Price (AgMarknet),4406.63,Prices,Rs/Qtl
All India,Kulthi,Oct - 2022,Mandi Arrival Quantity (AgMarknet),5690.02,Arrivals,Tonnes
All India,Kulthi,Nov - 2022,Mandi Modal Price (AgMarknet),4416.24,Prices,Rs/Qtl
All India,Kulthi,Nov - 2022,Mandi Arrival Quantity (AgMarknet),8276.47,Arrivals,Tonnes
All India,Kulthi,Dec - 2022,Mandi Arrival Quantity (AgMarknet),6184.88,Arrivals,Tonnes
All India,Kulthi,Dec - 2022,Mandi Modal Price (AgMarknet),4538.34,Prices,Rs/Qtl
All India,Kulthi,Jan - 2023,Mandi Arrival Quantity (AgMarknet),4066.28,Arrivals,Tonnes
All India,Kulthi,Jan - 2023,Mandi Modal Price (AgMarknet),4812.81,Prices,Rs/Qtl
All India,Kulthi,Feb - 2023,Mandi Modal Price (AgMarknet),4712.11,Prices,Rs/Qtl
All India,Kulthi,Feb - 2023,Mandi Arrival Quantity (AgMarknet),5045.42,Arrivals,Tonnes
All India,Kulthi,Mar - 2023,Mandi Arrival Quantity (AgMarknet),8136.11,Arrivals,Tonnes
All India,Kulthi,Mar - 2023,Mandi Modal Price (AgMarknet),4779.49,Prices,Rs/Qtl
All India,Kulthi,Apr - 2023,Mandi Arrival Quantity (AgMarknet),8282.58,Arrivals,Tonnes
All India,Kulthi,Apr - 2023,Mandi Modal Price (AgMarknet),4772.12,Prices,Rs/Qtl
All India,Kulthi,May - 2023,Mandi Modal Price (AgMarknet),4844.86,Prices,Rs/Qtl
All India,Kulthi,May - 2023,Mandi Arrival Quantity (AgMarknet),5394.9,Arrivals,Tonnes
All India,Kulthi,Jun - 2023,Mandi Arrival Quantity (AgMarknet),3579.12,Arrivals,Tonnes
All India,Kulthi,Jun - 2023,Mandi Modal Price (AgMarknet),4995.41,Prices,Rs/Qtl
All India,Kulthi,Jul - 2023,Mandi Arrival Quantity (AgMarknet),2430.63,Arrivals,Tonnes
All India,Kulthi,Jul - 2023,Mandi Modal Price (AgMarknet),5105.54,Prices,Rs/Qtl
All India,Kulthi,Aug - 2023,Mandi Arrival Quantity (AgMarknet),1579.73,Arrivals,Tonnes
All India,Kulthi,Aug - 2023,Mandi Modal Price (AgMarknet),5751.35,Prices,Rs/Qtl
All India,Kulthi,Sep - 2023,Mandi Modal Price (AgMarknet),5821.12,Prices,Rs/Qtl
All India,Kulthi,Sep - 2023,Mandi Arrival Quantity (AgMarknet),968.97,Arrivals,Tonnes
All India,Kulthi,Oct - 2023,Mandi Arrival Quantity (AgMarknet),1592.57,Arrivals,Tonnes
All India,Kulthi,Oct - 2023,Mandi Modal Price (AgMarknet),5991.17,Prices,Rs/Qtl
