State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Lakh,Dec - 2021,Mandi Modal Price (AgMarknet),3328.09,Prices,Rs/Qtl
All India,Lakh,Dec - 2021,Mandi Arrival Quantity (AgMarknet),5181.6,Arrivals,Tonnes
All India,Lakh,Jan - 2022,Mandi Modal Price (AgMarknet),3452.04,Prices,Rs/Qtl
All India,Lakh,Jan - 2022,Mandi Arrival Quantity (AgMarknet),6377.73,Arrivals,Tonnes
All India,Lakh,Feb - 2022,Mandi Modal Price (AgMarknet),3917.42,Prices,Rs/Qtl
All India,Lakh,Feb - 2022,Mandi Arrival Quantity (AgMarknet),6725.27,Arrivals,Tonnes
All India,Lakh,Mar - 2022,Mandi Modal Price (AgMarknet),3499.22,Prices,Rs/Qtl
All India,Lakh,Mar - 2022,Mandi Arrival Quantity (AgMarknet),25931.95,Arrivals,Tonnes
All India,Lakh,Apr - 2022,Mandi Modal Price (AgMarknet),3175.91,Prices,Rs/Qtl
All India,Lakh,Apr - 2022,Mandi Arrival Quantity (AgMarknet),16907.88,Arrivals,Tonnes
All India,Lakh,May - 2022,Mandi Arrival Quantity (AgMarknet),7364.12,Arrivals,Tonnes
All India,Lakh,May - 2022,Mandi Modal Price (AgMarknet),3032.88,Prices,Rs/Qtl
All India,Lakh,Jun - 2022,Mandi Arrival Quantity (AgMarknet),4587.93,Arrivals,Tonnes
All India,Lakh,Jun - 2022,Mandi Modal Price (AgMarknet),3018.99,Prices,Rs/Qtl
All India,Lakh,Jul - 2022,Mandi Modal Price (AgMarknet),3170.11,Prices,Rs/Qtl
All India,Lakh,Jul - 2022,Mandi Arrival Quantity (AgMarknet),3870.84,Arrivals,Tonnes
All India,Lakh,Aug - 2022,Mandi Modal Price (AgMarknet),3393.0,Prices,Rs/Qtl
All India,Lakh,Aug - 2022,Mandi Arrival Quantity (AgMarknet),5847.43,Arrivals,Tonnes
All India,Lakh,Sep - 2022,Mandi Modal Price (AgMarknet),3284.48,Prices,Rs/Qtl
All India,Lakh,Sep - 2022,Mandi Arrival Quantity (AgMarknet),2912.09,Arrivals,Tonnes
All India,Lakh,Oct - 2022,Mandi Modal Price (AgMarknet),3283.74,Prices,Rs/Qtl
All India,Lakh,Oct - 2022,Mandi Arrival Quantity (AgMarknet),5934.36,Arrivals,Tonnes
All India,Lakh,Nov - 2022,Mandi Modal Price (AgMarknet),3262.99,Prices,Rs/Qtl
All India,Lakh,Nov - 2022,Mandi Arrival Quantity (AgMarknet),4183.67,Arrivals,Tonnes
All India,Lakh,Dec - 2022,Mandi Arrival Quantity (AgMarknet),3858.36,Arrivals,Tonnes
All India,Lakh,Dec - 2022,Mandi Modal Price (AgMarknet),3332.09,Prices,Rs/Qtl
All India,Lakh,Jan - 2023,Mandi Arrival Quantity (AgMarknet),2056.87,Arrivals,Tonnes
All India,Lakh,Jan - 2023,Mandi Modal Price (AgMarknet),3420.65,Prices,Rs/Qtl
All India,Lakh,Feb - 2023,Mandi Modal Price (AgMarknet),3517.55,Prices,Rs/Qtl
All India,Lakh,Feb - 2023,Mandi Arrival Quantity (AgMarknet),6766.85,Arrivals,Tonnes
All India,Lakh,Mar - 2023,Mandi Arrival Quantity (AgMarknet),18026.86,Arrivals,Tonnes
All India,Lakh,Mar - 2023,Mandi Modal Price (AgMarknet),3248.26,Prices,Rs/Qtl
All India,Lakh,Apr - 2023,Mandi Arrival Quantity (AgMarknet),7820.09,Arrivals,Tonnes
All India,Lakh,Apr - 2023,Mandi Modal Price (AgMarknet),3231.93,Prices,Rs/Qtl
All India,Lakh,May - 2023,Mandi Modal Price (AgMarknet),3247.94,Prices,Rs/Qtl
All India,Lakh,May - 2023,Mandi Arrival Quantity (AgMarknet),4818.04,Arrivals,Tonnes
All India,Lakh,Jun - 2023,Mandi Arrival Quantity (AgMarknet),4197.53,Arrivals,Tonnes
All India,Lakh,Jun - 2023,Mandi Modal Price (AgMarknet),3379.48,Prices,Rs/Qtl
All India,Lakh,Jul - 2023,Mandi Arrival Quantity (AgMarknet),2776.2,Arrivals,Tonnes
All India,Lakh,Jul - 2023,Mandi Modal Price (AgMarknet),3433.32,Prices,Rs/Qtl
All India,Lakh,Aug - 2023,Mandi Arrival Quantity (AgMarknet),2475.23,Arrivals,Tonnes
All India,Lakh,Aug - 2023,Mandi Modal Price (AgMarknet),3798.79,Prices,Rs/Qtl
All India,Lakh,Sep - 2023,Mandi Modal Price (AgMarknet),4071.66,Prices,Rs/Qtl
All India,Lakh,Sep - 2023,Mandi Arrival Quantity (AgMarknet),1381.98,Arrivals,Tonnes
All India,Lakh,Oct - 2023,Mandi Arrival Quantity (AgMarknet),1150.84,Arrivals,Tonnes
All India,Lakh,Oct - 2023,Mandi Modal Price (AgMarknet),4270.66,Prices,Rs/Qtl
All India,Lakh,Nov - 2023,Mandi Modal Price (AgMarknet),4670.78,Prices,Rs/Qtl
All India,Lakh,Nov - 2023,Mandi Arrival Quantity (AgMarknet),1149.68,Arrivals,Tonnes
All India,Lakh,Dec - 2023,Mandi Arrival Quantity (AgMarknet),724.18,Arrivals,Tonnes
All India,Lakh,Dec - 2023,Mandi Modal Price (AgMarknet),4282.64,Prices,Rs/Qtl
All India,Lakh,Jan - 2024,Mandi Modal Price (AgMarknet),8110.17,Prices,Rs/Qtl
All India,Lakh,Jan - 2024,Mandi Arrival Quantity (AgMarknet),378.7,Arrivals,Tonnes
All India,Lakh,Feb - 2024,Mandi Arrival Quantity (AgMarknet),2010.08,Arrivals,Tonnes
All India,Lakh,Feb - 2024,Mandi Modal Price (AgMarknet),5550.19,Prices,Rs/Qtl
All India,Lakh,Mar - 2024,Mandi Arrival Quantity (AgMarknet),3264.44,Arrivals,Tonnes
All India,Lakh,Mar - 2024,Mandi Modal Price (AgMarknet),4342.63,Prices,Rs/Qtl
All India,Lakh,Apr - 2024,Mandi Arrival Quantity (AgMarknet),1207.43,Arrivals,Tonnes
All India,Lakh,Apr - 2024,Mandi Modal Price (AgMarknet),4291.84,Prices,Rs/Qtl
All India,Lakh,May - 2024,Mandi Arrival Quantity (AgMarknet),1784.71,Arrivals,Tonnes
All India,Lakh,May - 2024,Mandi Modal Price (AgMarknet),4415.73,Prices,Rs/Qtl
All India,Lakh,Jun - 2024,Mandi Arrival Quantity (AgMarknet),1091.5,Arrivals,Tonnes
All India,Lakh,Jun - 2024,Mandi Modal Price (AgMarknet),4468.17,Prices,Rs/Qtl
All India,Lakh,Jul - 2024,Mandi Arrival Quantity (AgMarknet),679.99,Arrivals,Tonnes
All India,Lakh,Jul - 2024,Mandi Modal Price (AgMarknet),4381.96,Prices,Rs/Qtl
All India,Lakh,Aug - 2024,Mandi Modal Price (AgMarknet),4966.38,Prices,Rs/Qtl
All India,Lakh,Aug - 2024,Mandi Arrival Quantity (AgMarknet),1007.61,Arrivals,Tonnes
All India,Lakh,Sep - 2024,Mandi Arrival Quantity (AgMarknet),1334.81,Arrivals,Tonnes
All India,Lakh,Sep - 2024,Mandi Modal Price (AgMarknet),4613.73,Prices,Rs/Qtl
All India,Lakh,Oct - 2024,Mandi Arrival Quantity (AgMarknet),974.89,Arrivals,Tonnes
All India,Lakh,Oct - 2024,Mandi Modal Price (AgMarknet),4599.0,Prices,Rs/Qtl
All India,Lakh,Nov - 2024,Mandi Modal Price (AgMarknet),4700.14,Prices,Rs/Qtl
All India,Lakh,Nov - 2024,Mandi Arrival Quantity (AgMarknet),1080.72,Arrivals,Tonnes
All India,Lakh,Dec - 2024,Mandi Modal Price (AgMarknet),4640.47,Prices,Rs/Qtl
