State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Lentil,Dec - 2021,Mandi Modal Price (AgMarknet),6684.16,Prices,Rs/Qtl
All India,Lentil,Dec - 2021,Mandi Arrival Quantity (AgMarknet),23044.09,Arrivals,Tonnes
All India,Lentil,Jan - 2022,Mandi Modal Price (AgMarknet),6894.89,Prices,Rs/Qtl
All India,Lentil,Jan - 2022,Mandi Arrival Quantity (AgMarknet),24681.91,Arrivals,Tonnes
All India,Lentil,Feb - 2022,Mandi Modal Price (AgMarknet),6699.18,Prices,Rs/Qtl
All India,Lentil,Feb - 2022,Mandi Arrival Quantity (AgMarknet),37937.06,Arrivals,Tonnes
All India,Lentil,Mar - 2022,Mandi Modal Price (AgMarknet),6164.46,Prices,Rs/Qtl
All India,Lentil,Mar - 2022,Mandi Arrival Quantity (AgMarknet),168592.81,Arrivals,Tonnes
All India,Lentil,Apr - 2022,Mandi Modal Price (AgMarknet),6356.08,Prices,Rs/Qtl
All India,Lentil,Apr - 2022,Mandi Arrival Quantity (AgMarknet),144633.64,Arrivals,Tonnes
All India,Lentil,May - 2022,Mandi Arrival Quantity (AgMarknet),121477.98,Arrivals,Tonnes
All India,Lentil,May - 2022,Mandi Modal Price (AgMarknet),6407.09,Prices,Rs/Qtl
All India,Lentil,Jun - 2022,Mandi Arrival Quantity (AgMarknet),99262.36,Arrivals,Tonnes
All India,Lentil,Jun - 2022,Mandi Modal Price (AgMarknet),6527.38,Prices,Rs/Qtl
All India,Lentil,Jul - 2022,Mandi Modal Price (AgMarknet),6732.15,Prices,Rs/Qtl
All India,Lentil,Jul - 2022,Mandi Arrival Quantity (AgMarknet),63518.39,Arrivals,Tonnes
All India,Lentil,Aug - 2022,Mandi Modal Price (AgMarknet),6782.97,Prices,Rs/Qtl
All India,Lentil,Aug - 2022,Mandi Arrival Quantity (AgMarknet),32054.07,Arrivals,Tonnes
All India,Lentil,Sep - 2022,Mandi Modal Price (AgMarknet),6480.36,Prices,Rs/Qtl
All India,Lentil,Sep - 2022,Mandi Arrival Quantity (AgMarknet),34464.39,Arrivals,Tonnes
All India,Lentil,Oct - 2022,Mandi Modal Price (AgMarknet),6536.96,Prices,Rs/Qtl
All India,Lentil,Oct - 2022,Mandi Arrival Quantity (AgMarknet),38679.76,Arrivals,Tonnes
All India,Lentil,Nov - 2022,Mandi Modal Price (AgMarknet),6441.27,Prices,Rs/Qtl
