State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Maize,Dec - 2021,Mandi Modal Price (AgMarknet),1572.31,Prices,Rs/Qtl
All India,Maize,Dec - 2021,Mandi Arrival Quantity (AgMarknet),872667.88,Arrivals,Tonnes
All India,Maize,Jan - 2022,Mandi Modal Price (AgMarknet),1722.99,Prices,Rs/Qtl
All India,Maize,Jan - 2022,Mandi Arrival Quantity (AgMarknet),491596.13,Arrivals,Tonnes
All India,Maize,Feb - 2022,Mandi Modal Price (AgMarknet),1848.52,Prices,Rs/Qtl
All India,Maize,Feb - 2022,Mandi Arrival Quantity (AgMarknet),299532.11,Arrivals,Tonnes
All India,Maize,Mar - 2022,Mandi Modal Price (AgMarknet),1982.6,Prices,Rs/Qtl
All India,Maize,Mar - 2022,Mandi Arrival Quantity (AgMarknet),245975.98,Arrivals,Tonnes
All India,Maize,Apr - 2022,Mandi Modal Price (AgMarknet),2042.52,Prices,Rs/Qtl
All India,Maize,Apr - 2022,Mandi Arrival Quantity (AgMarknet),256133.46,Arrivals,Tonnes
All India,Maize,May - 2022,Mandi Arrival Quantity (AgMarknet),213130.93,Arrivals,Tonnes
All India,Maize,May - 2022,Mandi Modal Price (AgMarknet),2030.1,Prices,Rs/Qtl
All India,Maize,Jun - 2022,Mandi Arrival Quantity (AgMarknet),449306.46,Arrivals,Tonnes
All India,Maize,Jun - 2022,Mandi Modal Price (AgMarknet),1956.44,Prices,Rs/Qtl
All India,Maize,Jul - 2022,Mandi Modal Price (AgMarknet),1971.62,Prices,Rs/Qtl
All India,Maize,Jul - 2022,Mandi Arrival Quantity (AgMarknet),622529.21,Arrivals,Tonnes
All India,Maize,Aug - 2022,Mandi Modal Price (AgMarknet),2111.99,Prices,Rs/Qtl
All India,Maize,Aug - 2022,Mandi Arrival Quantity (AgMarknet),257031.79,Arrivals,Tonnes
All India,Maize,Sep - 2022,Mandi Modal Price (AgMarknet),2136.59,Prices,Rs/Qtl
All India,Maize,Sep - 2022,Mandi Arrival Quantity (AgMarknet),221424.02,Arrivals,Tonnes
All India,Maize,Oct - 2022,Mandi Modal Price (AgMarknet),1850.76,Prices,Rs/Qtl
All India,Maize,Oct - 2022,Mandi Arrival Quantity (AgMarknet),499845.11,Arrivals,Tonnes
All India,Maize,Nov - 2022,Mandi Modal Price (AgMarknet),1927.93,Prices,Rs/Qtl
All India,Maize,Nov - 2022,Mandi Arrival Quantity (AgMarknet),1394868.6,Arrivals,Tonnes
All India,Maize,Dec - 2022,Mandi Arrival Quantity (AgMarknet),876101.82,Arrivals,Tonnes
All India,Maize,Dec - 2022,Mandi Modal Price (AgMarknet),2065.31,Prices,Rs/Qtl
All India,Maize,Jan - 2023,Mandi Arrival Quantity (AgMarknet),421097.5,Arrivals,Tonnes
