State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Moong (Dal/Split),Dec - 2021,Mandi Modal Price (AgMarknet),9372.34,Prices,Rs/Qtl
All India,Moong (Dal/Split),Dec - 2021,Mandi Arrival Quantity (AgMarknet),6148.1,Arrivals,Tonnes
All India,Moong (Dal/Split),Jan - 2022,Mandi Modal Price (AgMarknet),9233.6,Prices,Rs/Qtl
All India,Moong (Dal/Split),Jan - 2022,Mandi Arrival Quantity (AgMarknet),5777.9,Arrivals,Tonnes
All India,Moong (Dal/Split),Feb - 2022,Mandi Modal Price (AgMarknet),9131.55,Prices,Rs/Qtl
All India,Moong (Dal/Split),Feb - 2022,Mandi Arrival Quantity (AgMarknet),5398.5,Arrivals,Tonnes
All India,Moong (Dal/Split),Mar - 2022,Mandi Modal Price (AgMarknet),9206.59,Prices,Rs/Qtl
All India,Moong (Dal/Split),Mar - 2022,Mandi Arrival Quantity (AgMarknet),8171.91,Arrivals,Tonnes
All India,Moong (Dal/Split),Apr - 2022,Mandi Modal Price (AgMarknet),9343.9,Prices,Rs/Qtl
All India,Moong (Dal/Split),Apr - 2022,Mandi Arrival Quantity (AgMarknet),6914.5,Arrivals,Tonnes
All India,Moong (Dal/Split),May - 2022,Mandi Arrival Quantity (AgMarknet),5350.0,Arrivals,Tonnes
All India,Moong (Dal/Split),May - 2022,Mandi Modal Price (AgMarknet),9168.88,Prices,Rs/Qtl
All India,Moong (Dal/Split),Jun - 2022,Mandi Arrival Quantity (AgMarknet),7121.7,Arrivals,Tonnes
All India,Moong (Dal/Split),Jun - 2022,Mandi Modal Price (AgMarknet),9117.72,Prices,Rs/Qtl
All India,Moong (Dal/Split),Jul - 2022,Mandi Modal Price (AgMarknet),9105.96,Prices,Rs/Qtl
All India,Moong (Dal/Split),Jul - 2022,Mandi Arrival Quantity (AgMarknet),6321.67,Arrivals,Tonnes
All India,Moong (Dal/Split),Aug - 2022,Mandi Modal Price (AgMarknet),9221.03,Prices,Rs/Qtl
All India,Moong (Dal/Split),Aug - 2022,Mandi Arrival Quantity (AgMarknet),6485.7,Arrivals,Tonnes
All India,Moong (Dal/Split),Sep - 2022,Mandi Modal Price (AgMarknet),9343.62,Prices,Rs/Qtl
All India,Moong (Dal/Split),Sep - 2022,Mandi Arrival Quantity (AgMarknet),9079.34,Arrivals,Tonnes
All India,Moong (Dal/Split),Oct - 2022,Mandi Modal Price (AgMarknet),9620.06,Prices,Rs/Qtl
All India,Moong (Dal/Split),Oct - 2022,Mandi Arrival Quantity (AgMarknet),9654.65,Arrivals,Tonnes
All India,Moong (Dal/Split),Nov - 2022,Mandi Modal Price (AgMarknet),9323.98,Prices,Rs/Qtl
All India,Moong (Dal/Split),Nov - 2022,Mandi Arrival Quantity (AgMarknet),7387.2,Arrivals,Tonnes
