State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Moong,Dec - 2021,Mandi Modal Price (AgMarknet),5870.81,Prices,Rs/Qtl
All India,Moong,Dec - 2021,Mandi Arrival Quantity (AgMarknet),50599.03,Arrivals,Tonnes
All India,Moong,Jan - 2022,Mandi Modal Price (AgMarknet),5942.34,Prices,Rs/Qtl
All India,Moong,Jan - 2022,Mandi Arrival Quantity (AgMarknet),54304.86,Arrivals,Tonnes
All India,Moong,Feb - 2022,Mandi Modal Price (AgMarknet),6240.74,Prices,Rs/Qtl
All India,Moong,Feb - 2022,Mandi Arrival Quantity (AgMarknet),40418.23,Arrivals,Tonnes
All India,Moong,Mar - 2022,Mandi Modal Price (AgMarknet),6783.71,Prices,Rs/Qtl
All India,Moong,Mar - 2022,Mandi Arrival Quantity (AgMarknet),28822.67,Arrivals,Tonnes
All India,Moong,Apr - 2022,Mandi Modal Price (AgMarknet),7029.07,Prices,Rs/Qtl
All India,Moong,Apr - 2022,Mandi Arrival Quantity (AgMarknet),19530.09,Arrivals,Tonnes
All India,Moong,May - 2022,Mandi Arrival Quantity (AgMarknet),41203.49,Arrivals,Tonnes
All India,Moong,May - 2022,Mandi Modal Price (AgMarknet),6509.44,Prices,Rs/Qtl
All India,Moong,Jun - 2022,Mandi Arrival Quantity (AgMarknet),124890.32,Arrivals,Tonnes
All India,Moong,Jun - 2022,Mandi Modal Price (AgMarknet),6037.26,Prices,Rs/Qtl
All India,Moong,Jul - 2022,Mandi Modal Price (AgMarknet),6100.65,Prices,Rs/Qtl
All India,Moong,Jul - 2022,Mandi Arrival Quantity (AgMarknet),113573.14,Arrivals,Tonnes
All India,Moong,Aug - 2022,Mandi Modal Price (AgMarknet),6252.86,Prices,Rs/Qtl
All India,Moong,Aug - 2022,Mandi Arrival Quantity (AgMarknet),93684.37,Arrivals,Tonnes
All India,Moong,Sep - 2022,Mandi Modal Price (AgMarknet),6375.52,Prices,Rs/Qtl
All India,Moong,Sep - 2022,Mandi Arrival Quantity (AgMarknet),113445.12,Arrivals,Tonnes
All India,Moong,Oct - 2022,Mandi Modal Price (AgMarknet),6542.07,Prices,Rs/Qtl
All India,Moong,Oct - 2022,Mandi Arrival Quantity (AgMarknet),61225.18,Arrivals,Tonnes
All India,Moong,Nov - 2022,Mandi Modal Price (AgMarknet),6823.63,Prices,Rs/Qtl
All India,Moong,Nov - 2022,Mandi Arrival Quantity (AgMarknet),45037.18,Arrivals,Tonnes
All India,Moong,Dec - 2022,Mandi Arrival Quantity (AgMarknet),29799.88,Arrivals,Tonnes
All India,Moong,Dec - 2022,Mandi Modal Price (AgMarknet),6930.49,Prices,Rs/Qtl
All India,Moong,Jan - 2023,Mandi Arrival Quantity (AgMarknet),21894.04,Arrivals,Tonnes
All India,Moong,Jan - 2023,Mandi Modal Price (AgMarknet),7244.55,Prices,Rs/Qtl
All India,Moong,Feb - 2023,Mandi Modal Price (AgMarknet),7407.71,Prices,Rs/Qtl
All India,Moong,Feb - 2023,Mandi Arrival Quantity (AgMarknet),15973.38,Arrivals,Tonnes
All India,Moong,Mar - 2023,Mandi Arrival Quantity (AgMarknet),13876.76,Arrivals,Tonnes
All India,Moong,Mar - 2023,Mandi Modal Price (AgMarknet),7855.09,Prices,Rs/Qtl
All India,Moong,Apr - 2023,Mandi Arrival Quantity (AgMarknet),13040.66,Arrivals,Tonnes
All India,Moong,Apr - 2023,Mandi Modal Price (AgMarknet),7733.49,Prices,Rs/Qtl
