State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Masur/Lentil (Dal/Split),Dec - 2021,Mandi Modal Price (AgMarknet),8611.64,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Dec - 2021,Mandi Arrival Quantity (AgMarknet),4361.01,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jan - 2022,Mandi Modal Price (AgMarknet),8599.14,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jan - 2022,Mandi Arrival Quantity (AgMarknet),4980.31,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Feb - 2022,Mandi Modal Price (AgMarknet),8593.67,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Feb - 2022,Mandi Arrival Quantity (AgMarknet),4217.58,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Mar - 2022,Mandi Modal Price (AgMarknet),8300.2,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Mar - 2022,Mandi Arrival Quantity (AgMarknet),5037.32,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Apr - 2022,Mandi Modal Price (AgMarknet),8285.75,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Apr - 2022,Mandi Arrival Quantity (AgMarknet),5333.42,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),May - 2022,Mandi Arrival Quantity (AgMarknet),5072.52,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),May - 2022,Mandi Modal Price (AgMarknet),8287.77,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jun - 2022,Mandi Arrival Quantity (AgMarknet),4878.97,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jun - 2022,Mandi Modal Price (AgMarknet),8364.96,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jul - 2022,Mandi Modal Price (AgMarknet),8457.34,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jul - 2022,Mandi Arrival Quantity (AgMarknet),5337.82,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Aug - 2022,Mandi Modal Price (AgMarknet),8528.0,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Aug - 2022,Mandi Arrival Quantity (AgMarknet),5343.93,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Sep - 2022,Mandi Modal Price (AgMarknet),8656.81,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Sep - 2022,Mandi Arrival Quantity (AgMarknet),7738.51,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Oct - 2022,Mandi Modal Price (AgMarknet),8334.48,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Oct - 2022,Mandi Arrival Quantity (AgMarknet),6432.82,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Nov - 2022,Mandi Modal Price (AgMarknet),8570.22,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Nov - 2022,Mandi Arrival Quantity (AgMarknet),7613.24,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Dec - 2022,Mandi Arrival Quantity (AgMarknet),7342.71,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Dec - 2022,Mandi Modal Price (AgMarknet),8609.0,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jan - 2023,Mandi Arrival Quantity (AgMarknet),7225.36,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jan - 2023,Mandi Modal Price (AgMarknet),8437.29,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Feb - 2023,Mandi Modal Price (AgMarknet),8347.45,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Feb - 2023,Mandi Arrival Quantity (AgMarknet),8081.62,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Mar - 2023,Mandi Arrival Quantity (AgMarknet),8119.07,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Mar - 2023,Mandi Modal Price (AgMarknet),7737.62,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Apr - 2023,Mandi Arrival Quantity (AgMarknet),5541.34,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Apr - 2023,Mandi Modal Price (AgMarknet),8085.97,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),May - 2023,Mandi Modal Price (AgMarknet),8219.43,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),May - 2023,Mandi Arrival Quantity (AgMarknet),7465.48,Arrivals,Tonnes
