State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Peas,Dec - 2021,Mandi Modal Price (AgMarknet),5662.41,Prices,Rs/Qtl
All India,Peas,Dec - 2021,Mandi Arrival Quantity (AgMarknet),12784.92,Arrivals,Tonnes
All India,Peas,Jan - 2022,Mandi Modal Price (AgMarknet),5844.96,Prices,Rs/Qtl
All India,Peas,Jan - 2022,Mandi Arrival Quantity (AgMarknet),13719.48,Arrivals,Tonnes
All India,Peas,Feb - 2022,Mandi Modal Price (AgMarknet),5611.5,Prices,Rs/Qtl
All India,Peas,Feb - 2022,Mandi Arrival Quantity (AgMarknet),30817.52,Arrivals,Tonnes
All India,Peas,Mar - 2022,Mandi Modal Price (AgMarknet),4926.31,Prices,Rs/Qtl
All India,Peas,Mar - 2022,Mandi Arrival Quantity (AgMarknet),133796.7,Arrivals,Tonnes
All India,Peas,Apr - 2022,Mandi Modal Price (AgMarknet),4666.02,Prices,Rs/Qtl
All India,Peas,Apr - 2022,Mandi Arrival Quantity (AgMarknet),143272.77,Arrivals,Tonnes
All India,Peas,May - 2022,Mandi Arrival Quantity (AgMarknet),107066.29,Arrivals,Tonnes
All India,Peas,May - 2022,Mandi Modal Price (AgMarknet),4392.11,Prices,Rs/Qtl
All India,Peas,Jun - 2022,Mandi Arrival Quantity (AgMarknet),53474.82,Arrivals,Tonnes
All India,Peas,Jun - 2022,Mandi Modal Price (AgMarknet),4461.09,Prices,Rs/Qtl
All India,Peas,Jul - 2022,Mandi Modal Price (AgMarknet),4500.64,Prices,Rs/Qtl
All India,Peas,Jul - 2022,Mandi Arrival Quantity (AgMarknet),57138.65,Arrivals,Tonnes
All India,Peas,Aug - 2022,Mandi Modal Price (AgMarknet),4734.69,Prices,Rs/Qtl
All India,Peas,Aug - 2022,Mandi Arrival Quantity (AgMarknet),26450.19,Arrivals,Tonnes
All India,Peas,Sep - 2022,Mandi Modal Price (AgMarknet),4743.05,Prices,Rs/Qtl
All India,Peas,Sep - 2022,Mandi Arrival Quantity (AgMarknet),22107.82,Arrivals,Tonnes
All India,Peas,Oct - 2022,Mandi Modal Price (AgMarknet),4658.59,Prices,Rs/Qtl
All India,Peas,Oct - 2022,Mandi Arrival Quantity (AgMarknet),33722.52,Arrivals,Tonnes
All India,Peas,Nov - 2022,Mandi Modal Price (AgMarknet),4502.77,Prices,Rs/Qtl
All India,Peas,Nov - 2022,Mandi Arrival Quantity (AgMarknet),34547.8,Arrivals,Tonnes
All India,Peas,Dec - 2022,Mandi Arrival Quantity (AgMarknet),32223.88,Arrivals,Tonnes
All India,Peas,Dec - 2022,Mandi Modal Price (AgMarknet),4661.48,Prices,Rs/Qtl
All India,Peas,Jan - 2023,Mandi Arrival Quantity (AgMarknet),45282.82,Arrivals,Tonnes
All India,Peas,Jan - 2023,Mandi Modal Price (AgMarknet),3503.74,Prices,Rs/Qtl
All India,Peas,Feb - 2023,Mandi Modal Price (AgMarknet),3598.36,Prices,Rs/Qtl
All India,Peas,Feb - 2023,Mandi Arrival Quantity (AgMarknet),49649.1,Arrivals,Tonnes
All India,Peas,Mar - 2023,Mandi Arrival Quantity (AgMarknet),90114.8,Arrivals,Tonnes
All India,Peas,Mar - 2023,Mandi Modal Price (AgMarknet),4186.26,Prices,Rs/Qtl
All India,Peas,Apr - 2023,Mandi Arrival Quantity (AgMarknet),75271.31,Arrivals,Tonnes
All India,Peas,Apr - 2023,Mandi Modal Price (AgMarknet),4248.46,Prices,Rs/Qtl
All India,Peas,May - 2023,Mandi Modal Price (AgMarknet),4140.84,Prices,Rs/Qtl
All India,Peas,May - 2023,Mandi Arrival Quantity (AgMarknet),61031.74,Arrivals,Tonnes
All India,Peas,Jun - 2023,Mandi Arrival Quantity (AgMarknet),45013.8,Arrivals,Tonnes
All India,Peas,Jun - 2023,Mandi Modal Price (AgMarknet),4107.49,Prices,Rs/Qtl
All India,Peas,Jul - 2023,Mandi Arrival Quantity (AgMarknet),31848.04,Arrivals,Tonnes
All India,Peas,Jul - 2023,Mandi Modal Price (AgMarknet),4328.76,Prices,Rs/Qtl
All India,Peas,Aug - 2023,Mandi Arrival Quantity (AgMarknet),33653.51,Arrivals,Tonnes
