State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Ragi,Dec - 2021,Mandi Modal Price (AgMarknet),2766.16,Prices,Rs/Qtl
All India,Ragi,Dec - 2021,Mandi Arrival Quantity (AgMarknet),8573.01,Arrivals,Tonnes
All India,Ragi,Jan - 2022,Mandi Modal Price (AgMarknet),2404.34,Prices,Rs/Qtl
All India,Ragi,Jan - 2022,Mandi Arrival Quantity (AgMarknet),3707.08,Arrivals,Tonnes
All India,Ragi,Feb - 2022,Mandi Modal Price (AgMarknet),2488.51,Prices,Rs/Qtl
All India,Ragi,Feb - 2022,Mandi Arrival Quantity (AgMarknet),4477.75,Arrivals,Tonnes
All India,Ragi,Mar - 2022,Mandi Modal Price (AgMarknet),2319.68,Prices,Rs/Qtl
All India,Ragi,Mar - 2022,Mandi Arrival Quantity (AgMarknet),8635.3,Arrivals,Tonnes
All India,Ragi,Apr - 2022,Mandi Modal Price (AgMarknet),2099.35,Prices,Rs/Qtl
All India,Ragi,Apr - 2022,Mandi Arrival Quantity (AgMarknet),11175.24,Arrivals,Tonnes
All India,Ragi,May - 2022,Mandi Arrival Quantity (AgMarknet),7623.19,Arrivals,Tonnes
All India,Ragi,May - 2022,Mandi Modal Price (AgMarknet),2154.0,Prices,Rs/Qtl
All India,Ragi,Jun - 2022,Mandi Arrival Quantity (AgMarknet),4550.79,Arrivals,Tonnes
All India,Ragi,Jun - 2022,Mandi Modal Price (AgMarknet),2236.21,Prices,Rs/Qtl
All India,Ragi,Jul - 2022,Mandi Modal Price (AgMarknet),2287.96,Prices,Rs/Qtl
All India,Ragi,Jul - 2022,Mandi Arrival Quantity (AgMarknet),4572.16,Arrivals,Tonnes
All India,Ragi,Aug - 2022,Mandi Modal Price (AgMarknet),2266.88,Prices,Rs/Qtl
All India,Ragi,Aug - 2022,Mandi Arrival Quantity (AgMarknet),3433.88,Arrivals,Tonnes
All India,Ragi,Sep - 2022,Mandi Modal Price (AgMarknet),2437.91,Prices,Rs/Qtl
All India,Ragi,Sep - 2022,Mandi Arrival Quantity (AgMarknet),4203.66,Arrivals,Tonnes
All India,Ragi,Oct - 2022,Mandi Modal Price (AgMarknet),2394.59,Prices,Rs/Qtl
All India,Ragi,Oct - 2022,Mandi Arrival Quantity (AgMarknet),3029.64,Arrivals,Tonnes
All India,Ragi,Nov - 2022,Mandi Modal Price (AgMarknet),2545.2,Prices,Rs/Qtl
All India,Ragi,Nov - 2022,Mandi Arrival Quantity (AgMarknet),3137.4,Arrivals,Tonnes
All India,Ragi,Dec - 2022,Mandi Arrival Quantity (AgMarknet),3069.83,Arrivals,Tonnes
All India,Ragi,Dec - 2022,Mandi Modal Price (AgMarknet),2466.99,Prices,Rs/Qtl
All India,Ragi,Jan - 2023,Mandi Arrival Quantity (AgMarknet),3065.33,Arrivals,Tonnes
All India,Ragi,Jan - 2023,Mandi Modal Price (AgMarknet),2546.27,Prices,Rs/Qtl
All India,Ragi,Feb - 2023,Mandi Modal Price (AgMarknet),5669.07,Prices,Rs/Qtl
All India,Ragi,Feb - 2023,Mandi Arrival Quantity (AgMarknet),7786.58,Arrivals,Tonnes
All India,Ragi,Mar - 2023,Mandi Arrival Quantity (AgMarknet),4381.53,Arrivals,Tonnes
All India,Ragi,Mar - 2023,Mandi Modal Price (AgMarknet),2738.48,Prices,Rs/Qtl
All India,Ragi,Apr - 2023,Mandi Arrival Quantity (AgMarknet),5143.68,Arrivals,Tonnes
All India,Ragi,Apr - 2023,Mandi Modal Price (AgMarknet),2572.76,Prices,Rs/Qtl
All India,Ragi,May - 2023,Mandi Modal Price (AgMarknet),2428.59,Prices,Rs/Qtl
All India,Ragi,May - 2023,Mandi Arrival Quantity (AgMarknet),5636.79,Arrivals,Tonnes
All India,Ragi,Jun - 2023,Mandi Arrival Quantity (AgMarknet),3164.68,Arrivals,Tonnes
All India,Ragi,Jun - 2023,Mandi Modal Price (AgMarknet),2428.88,Prices,Rs/Qtl
All India,Ragi,Jul - 2023,Mandi Arrival Quantity (AgMarknet),2338.83,Arrivals,Tonnes
All India,Ragi,Jul - 2023,Mandi Modal Price (AgMarknet),2907.09,Prices,Rs/Qtl
All India,Ragi,Aug - 2023,Mandi Arrival Quantity (AgMarknet),1464.3,Arrivals,Tonnes
All India,Ragi,Aug - 2023,Mandi Modal Price (AgMarknet),3043.35,Prices,Rs/Qtl
All India,Ragi,Sep - 2023,Mandi Modal Price (AgMarknet),3074.13,Prices,Rs/Qtl
All India,Ragi,Sep - 2023,Mandi Arrival Quantity (AgMarknet),887.57,Arrivals,Tonnes
All India,Ragi,Oct - 2023,Mandi Arrival Quantity (AgMarknet),1488.31,Arrivals,Tonnes
All India,Ragi,Oct - 2023,Mandi Modal Price (AgMarknet),3198.38,Prices,Rs/Qtl
All India,Ragi,Nov - 2023,Mandi Modal Price (AgMarknet),3264.98,Prices,Rs/Qtl
All India,Ragi,Nov - 2023,Mandi Arrival Quantity (AgMarknet),1963.71,Arrivals,Tonnes
All India,Ragi,Dec - 2023,Mandi Arrival Quantity (AgMarknet),1915.79,Arrivals,Tonnes
All India,Ragi,Dec - 2023,Mandi Modal Price (AgMarknet),3347.9,Prices,Rs/Qtl
All India,Ragi,Jan - 2024,Mandi Modal Price (AgMarknet),3309.8,Prices,Rs/Qtl
All India,Ragi,Jan - 2024,Mandi Arrival Quantity (AgMarknet),2098.33,Arrivals,Tonnes
All India,Ragi,Feb - 2024,Mandi Arrival Quantity (AgMarknet),2231.52,Arrivals,Tonnes
All India,Ragi,Feb - 2024,Mandi Modal Price (AgMarknet),3170.08,Prices,Rs/Qtl
All India,Ragi,Mar - 2024,Mandi Arrival Quantity (AgMarknet),3517.52,Arrivals,Tonnes
All India,Ragi,Mar - 2024,Mandi Modal Price (AgMarknet),3241.01,Prices,Rs/Qtl
All India,Ragi,Apr - 2024,Mandi Arrival Quantity (AgMarknet),8368.84,Arrivals,Tonnes
All India,Ragi,Apr - 2024,Mandi Modal Price (AgMarknet),2973.33,Prices,Rs/Qtl
All India,Ragi,May - 2024,Mandi Arrival Quantity (AgMarknet),5612.46,Arrivals,Tonnes
All India,Ragi,May - 2024,Mandi Modal Price (AgMarknet),3199.51,Prices,Rs/Qtl
All India,Ragi,Jun - 2024,Mandi Arrival Quantity (AgMarknet),4573.19,Arrivals,Tonnes
All India,Ragi,Jun - 2024,Mandi Modal Price (AgMarknet),3303.72,Prices,Rs/Qtl
All India,Ragi,Jul - 2024,Mandi Arrival Quantity (AgMarknet),4988.89,Arrivals,Tonnes
All India,Ragi,Jul - 2024,Mandi Modal Price (AgMarknet),3280.22,Prices,Rs/Qtl
All India,Ragi,Aug - 2024,Mandi Modal Price (AgMarknet),3360.19,Prices,Rs/Qtl
All India,Ragi,Aug - 2024,Mandi Arrival Quantity (AgMarknet),5811.13,Arrivals,Tonnes
All India,Ragi,Sep - 2024,Mandi Arrival Quantity (AgMarknet),4551.17,Arrivals,Tonnes
All India,Ragi,Sep - 2024,Mandi Modal Price (AgMarknet),3179.74,Prices,Rs/Qtl
All India,Ragi,Oct - 2024,Mandi Arrival Quantity (AgMarknet),3106.68,Arrivals,Tonnes
All India,Ragi,Oct - 2024,Mandi Modal Price (AgMarknet),3265.28,Prices,Rs/Qtl
All India,Ragi,Nov - 2024,Mandi Modal Price (AgMarknet),3164.87,Prices,Rs/Qtl
All India,Ragi,Nov - 2024,Mandi Arrival Quantity (AgMarknet),3908.35,Arrivals,Tonnes
All India,Ragi,Dec - 2024,Mandi Modal Price (AgMarknet),3324.11,Prices,Rs/Qtl
All India,Ragi,Dec - 2024,Mandi Arrival Quantity (AgMarknet),3840.66,Arrivals,Tonnes
All India,Ragi,Jan - 2025,Mandi Modal Price (AgMarknet),3363.36,Prices,Rs/Qtl
