State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Ramdana,Dec - 2021,Mandi Modal Price (AgMarknet),850.85,Prices,Rs/Qtl
All India,Ramdana,Dec - 2021,Mandi Arrival Quantity (AgMarknet),6648.57,Arrivals,Tonnes
All India,Ramdana,Jan - 2022,Mandi Modal Price (AgMarknet),647.88,Prices,Rs/Qtl
All India,Ramdana,Jan - 2022,Mandi Arrival Quantity (AgMarknet),7857.1,Arrivals,Tonnes
All India,Ramdana,Feb - 2022,Mandi Modal Price (AgMarknet),431.91,Prices,Rs/Qtl
All India,Ramdana,Feb - 2022,Mandi Arrival Quantity (AgMarknet),8314.23,Arrivals,Tonnes
All India,Ramdana,Mar - 2022,Mandi Modal Price (AgMarknet),1525.26,Prices,Rs/Qtl
All India,Ramdana,Mar - 2022,Mandi Arrival Quantity (AgMarknet),10364.72,Arrivals,Tonnes
All India,Ramdana,Apr - 2022,Mandi Modal Price (AgMarknet),2103.72,Prices,Rs/Qtl
All India,Ramdana,Apr - 2022,Mandi Arrival Quantity (AgMarknet),8598.63,Arrivals,Tonnes
All India,Ramdana,May - 2022,Mandi Arrival Quantity (AgMarknet),8431.35,Arrivals,Tonnes
All India,Ramdana,May - 2022,Mandi Modal Price (AgMarknet),338.36,Prices,Rs/Qtl
All India,Ramdana,Jun - 2022,Mandi Arrival Quantity (AgMarknet),10458.81,Arrivals,Tonnes
All India,Ramdana,Jun - 2022,Mandi Modal Price (AgMarknet),291.57,Prices,Rs/Qtl
All India,Ramdana,Jul - 2022,Mandi Modal Price (AgMarknet),574.45,Prices,Rs/Qtl
All India,Ramdana,Jul - 2022,Mandi Arrival Quantity (AgMarknet),11738.39,Arrivals,Tonnes
All India,Ramdana,Aug - 2022,Mandi Modal Price (AgMarknet),201.11,Prices,Rs/Qtl
All India,Ramdana,Aug - 2022,Mandi Arrival Quantity (AgMarknet),10913.4,Arrivals,Tonnes
All India,Ramdana,Sep - 2022,Mandi Modal Price (AgMarknet),81.7,Prices,Rs/Qtl
All India,Ramdana,Sep - 2022,Mandi Arrival Quantity (AgMarknet),23906.84,Arrivals,Tonnes
All India,Ramdana,Oct - 2022,Mandi Modal Price (AgMarknet),40.68,Prices,Rs/Qtl
All India,Ramdana,Oct - 2022,Mandi Arrival Quantity (AgMarknet),17800.68,Arrivals,Tonnes
All India,Ramdana,Nov - 2022,Mandi Modal Price (AgMarknet),460.61,Prices,Rs/Qtl
All India,Ramdana,Nov - 2022,Mandi Arrival Quantity (AgMarknet),6804.19,Arrivals,Tonnes
All India,Ramdana,Dec - 2022,Mandi Arrival Quantity (AgMarknet),6176.79,Arrivals,Tonnes
All India,Ramdana,Dec - 2022,Mandi Modal Price (AgMarknet),409.08,Prices,Rs/Qtl
All India,Ramdana,Jan - 2023,Mandi Arrival Quantity (AgMarknet),3740.98,Arrivals,Tonnes
