State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Rice,Dec - 2021,Mandi Modal Price (AgMarknet),2243.06,Prices,Rs/Qtl
All India,Rice,Dec - 2021,Mandi Arrival Quantity (AgMarknet),3821222.28,Arrivals,Tonnes
All India,Rice,Jan - 2022,Mandi Modal Price (AgMarknet),2218.15,Prices,Rs/Qtl
All India,Rice,Jan - 2022,Mandi Arrival Quantity (AgMarknet),2993724.39,Arrivals,Tonnes
All India,Rice,Feb - 2022,Mandi Modal Price (AgMarknet),2448.57,Prices,Rs/Qtl
All India,Rice,Feb - 2022,Mandi Arrival Quantity (AgMarknet),1069626.72,Arrivals,Tonnes
All India,Rice,Mar - 2022,Mandi Modal Price (AgMarknet),2429.54,Prices,Rs/Qtl
All India,Rice,Mar - 2022,Mandi Arrival Quantity (AgMarknet),686173.43,Arrivals,Tonnes
All India,Rice,Apr - 2022,Mandi Modal Price (AgMarknet),2244.95,Prices,Rs/Qtl
All India,Rice,Apr - 2022,Mandi Arrival Quantity (AgMarknet),722596.38,Arrivals,Tonnes
All India,Rice,May - 2022,Mandi Arrival Quantity (AgMarknet),874715.99,Arrivals,Tonnes
All India,Rice,May - 2022,Mandi Modal Price (AgMarknet),2042.87,Prices,Rs/Qtl
All India,Rice,Jun - 2022,Mandi Arrival Quantity (AgMarknet),753536.71,Arrivals,Tonnes
All India,Rice,Jun - 2022,Mandi Modal Price (AgMarknet),2245.66,Prices,Rs/Qtl
All India,Rice,Jul - 2022,Mandi Modal Price (AgMarknet),2378.57,Prices,Rs/Qtl
All India,Rice,Jul - 2022,Mandi Arrival Quantity (AgMarknet),679824.43,Arrivals,Tonnes
All India,Rice,Aug - 2022,Mandi Modal Price (AgMarknet),2443.61,Prices,Rs/Qtl
All India,Rice,Aug - 2022,Mandi Arrival Quantity (AgMarknet),740841.39,Arrivals,Tonnes
All India,Rice,Sep - 2022,Mandi Modal Price (AgMarknet),2570.73,Prices,Rs/Qtl
All India,Rice,Sep - 2022,Mandi Arrival Quantity (AgMarknet),716361.48,Arrivals,Tonnes
All India,Rice,Oct - 2022,Mandi Modal Price (AgMarknet),2281.47,Prices,Rs/Qtl
All India,Rice,Oct - 2022,Mandi Arrival Quantity (AgMarknet),5859513.48,Arrivals,Tonnes
All India,Rice,Nov - 2022,Mandi Modal Price (AgMarknet),2535.39,Prices,Rs/Qtl
All India,Rice,Nov - 2022,Mandi Arrival Quantity (AgMarknet),7680370.21,Arrivals,Tonnes
All India,Rice,Dec - 2022,Mandi Arrival Quantity (AgMarknet),6357826.85,Arrivals,Tonnes
All India,Rice,Dec - 2022,Mandi Modal Price (AgMarknet),2517.3,Prices,Rs/Qtl
All India,Rice,Jan - 2023,Mandi Arrival Quantity (AgMarknet),3450328.37,Arrivals,Tonnes
All India,Rice,Jan - 2023,Mandi Modal Price (AgMarknet),2478.96,Prices,Rs/Qtl
All India,Rice,Feb - 2023,Mandi Modal Price (AgMarknet),2640.27,Prices,Rs/Qtl
All India,Rice,Feb - 2023,Mandi Arrival Quantity (AgMarknet),1372024.7,Arrivals,Tonnes
All India,Rice,Mar - 2023,Mandi Arrival Quantity (AgMarknet),1067318.54,Arrivals,Tonnes
All India,Rice,Mar - 2023,Mandi Modal Price (AgMarknet),2558.0,Prices,Rs/Qtl
All India,Rice,Apr - 2023,Mandi Arrival Quantity (AgMarknet),829195.47,Arrivals,Tonnes
All India,Rice,Apr - 2023,Mandi Modal Price (AgMarknet),2420.22,Prices,Rs/Qtl
All India,Rice,May - 2023,Mandi Modal Price (AgMarknet),2295.37,Prices,Rs/Qtl
All India,Rice,May - 2023,Mandi Arrival Quantity (AgMarknet),1160244.16,Arrivals,Tonnes
All India,Rice,Jun - 2023,Mandi Arrival Quantity (AgMarknet),916912.57,Arrivals,Tonnes
All India,Rice,Jun - 2023,Mandi Modal Price (AgMarknet),2547.37,Prices,Rs/Qtl
All India,Rice,Jul - 2023,Mandi Arrival Quantity (AgMarknet),782825.52,Arrivals,Tonnes
All India,Rice,Jul - 2023,Mandi Modal Price (AgMarknet),2760.4,Prices,Rs/Qtl
All India,Rice,Aug - 2023,Mandi Arrival Quantity (AgMarknet),748951.06,Arrivals,Tonnes
All India,Rice,Aug - 2023,Mandi Modal Price (AgMarknet),2801.71,Prices,Rs/Qtl
All India,Rice,Sep - 2023,Mandi Modal Price (AgMarknet),2750.56,Prices,Rs/Qtl
All India,Rice,Sep - 2023,Mandi Arrival Quantity (AgMarknet),1238483.86,Arrivals,Tonnes
All India,Rice,Oct - 2023,Mandi Arrival Quantity (AgMarknet),8465951.91,Arrivals,Tonnes
All India,Rice,Oct - 2023,Mandi Modal Price (AgMarknet),2439.28,Prices,Rs/Qtl
All India,Rice,Nov - 2023,Mandi Modal Price (AgMarknet),2747.25,Prices,Rs/Qtl
All India,Rice,Nov - 2023,Mandi Arrival Quantity (AgMarknet),6173686.9,Arrivals,Tonnes
All India,Rice,Dec - 2023,Mandi Arrival Quantity (AgMarknet),4417001.07,Arrivals,Tonnes
All India,Rice,Dec - 2023,Mandi Modal Price (AgMarknet),2685.74,Prices,Rs/Qtl
