State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Tur,Dec - 2021,Mandi Modal Price (AgMarknet),5333.66,Prices,Rs/Qtl
All India,Tur,Dec - 2021,Mandi Arrival Quantity (AgMarknet),67419.7,Arrivals,Tonnes
All India,Tur,Jan - 2022,Mandi Modal Price (AgMarknet),6255.16,Prices,Rs/Qtl
All India,Tur,Jan - 2022,Mandi Arrival Quantity (AgMarknet),180927.8,Arrivals,Tonnes
All India,Tur,Feb - 2022,Mandi Modal Price (AgMarknet),5991.09,Prices,Rs/Qtl
All India,Tur,Feb - 2022,Mandi Arrival Quantity (AgMarknet),250341.14,Arrivals,Tonnes
All India,Tur,Mar - 2022,Mandi Modal Price (AgMarknet),6085.9,Prices,Rs/Qtl
All India,Tur,Mar - 2022,Mandi Arrival Quantity (AgMarknet),173082.03,Arrivals,Tonnes
All India,Tur,Apr - 2022,Mandi Modal Price (AgMarknet),5939.5,Prices,Rs/Qtl
All India,Tur,Apr - 2022,Mandi Arrival Quantity (AgMarknet),145671.86,Arrivals,Tonnes
All India,Tur,May - 2022,Mandi Arrival Quantity (AgMarknet),113357.91,Arrivals,Tonnes
All India,Tur,May - 2022,Mandi Modal Price (AgMarknet),5873.67,Prices,Rs/Qtl
All India,Tur,Jun - 2022,Mandi Arrival Quantity (AgMarknet),87901.98,Arrivals,Tonnes
All India,Tur,Jun - 2022,Mandi Modal Price (AgMarknet),6001.0,Prices,Rs/Qtl
All India,Tur,Jul - 2022,Mandi Modal Price (AgMarknet),6600.27,Prices,Rs/Qtl
All India,Tur,Jul - 2022,Mandi Arrival Quantity (AgMarknet),75165.75,Arrivals,Tonnes
All India,Tur,Aug - 2022,Mandi Modal Price (AgMarknet),7145.06,Prices,Rs/Qtl
All India,Tur,Aug - 2022,Mandi Arrival Quantity (AgMarknet),38008.27,Arrivals,Tonnes
All India,Tur,Sep - 2022,Mandi Modal Price (AgMarknet),6410.3,Prices,Rs/Qtl
All India,Tur,Sep - 2022,Mandi Arrival Quantity (AgMarknet),32248.76,Arrivals,Tonnes
