State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Urad (Dal/Split),Dec - 2021,Mandi Modal Price (AgMarknet),9581.44,Prices,Rs/Qtl
All India,Urad (Dal/Split),Dec - 2021,Mandi Arrival Quantity (AgMarknet),8222.68,Arrivals,Tonnes
All India,Urad (Dal/Split),Jan - 2022,Mandi Modal Price (AgMarknet),9622.9,Prices,Rs/Qtl
All India,Urad (Dal/Split),Jan - 2022,Mandi Arrival Quantity (AgMarknet),7855.32,Arrivals,Tonnes
All India,Urad (Dal/Split),Feb - 2022,Mandi Modal Price (AgMarknet),9582.22,Prices,Rs/Qtl
All India,Urad (Dal/Split),Feb - 2022,Mandi Arrival Quantity (AgMarknet),9720.76,Arrivals,Tonnes
All India,Urad (Dal/Split),Mar - 2022,Mandi Modal Price (AgMarknet),9353.04,Prices,Rs/Qtl
All India,Urad (Dal/Split),Mar - 2022,Mandi Arrival Quantity (AgMarknet),10754.35,Arrivals,Tonnes
All India,Urad (Dal/Split),Apr - 2022,Mandi Modal Price (AgMarknet),9271.34,Prices,Rs/Qtl
All India,Urad (Dal/Split),Apr - 2022,Mandi Arrival Quantity (AgMarknet),9580.62,Arrivals,Tonnes
All India,Urad (Dal/Split),May - 2022,Mandi Arrival Quantity (AgMarknet),9323.64,Arrivals,Tonnes
All India,Urad (Dal/Split),May - 2022,Mandi Modal Price (AgMarknet),9422.52,Prices,Rs/Qtl
All India,Urad (Dal/Split),Jun - 2022,Mandi Arrival Quantity (AgMarknet),12379.6,Arrivals,Tonnes
All India,Urad (Dal/Split),Jun - 2022,Mandi Modal Price (AgMarknet),8911.73,Prices,Rs/Qtl
All India,Urad (Dal/Split),Jul - 2022,Mandi Modal Price (AgMarknet),9440.28,Prices,Rs/Qtl
All India,Urad (Dal/Split),Jul - 2022,Mandi Arrival Quantity (AgMarknet),8898.95,Arrivals,Tonnes
All India,Urad (Dal/Split),Aug - 2022,Mandi Modal Price (AgMarknet),9585.6,Prices,Rs/Qtl
All India,Urad (Dal/Split),Aug - 2022,Mandi Arrival Quantity (AgMarknet),14547.29,Arrivals,Tonnes
All India,Urad (Dal/Split),Sep - 2022,Mandi Modal Price (AgMarknet),9267.6,Prices,Rs/Qtl
All India,Urad (Dal/Split),Sep - 2022,Mandi Arrival Quantity (AgMarknet),17251.96,Arrivals,Tonnes
All India,Urad (Dal/Split),Oct - 2022,Mandi Modal Price (AgMarknet),9349.56,Prices,Rs/Qtl
All India,Urad (Dal/Split),Oct - 2022,Mandi Arrival Quantity (AgMarknet),15487.57,Arrivals,Tonnes
All India,Urad (Dal/Split),Nov - 2022,Mandi Modal Price (AgMarknet),9374.37,Prices,Rs/Qtl
All India,Urad (Dal/Split),Nov - 2022,Mandi Arrival Quantity (AgMarknet),17881.43,Arrivals,Tonnes
All India,Urad (Dal/Split),Dec - 2022,Mandi Arrival Quantity (AgMarknet),18328.07,Arrivals,Tonnes
All India,Urad (Dal/Split),Dec - 2022,Mandi Modal Price (AgMarknet),9502.65,Prices,Rs/Qtl
All India,Urad (Dal/Split),Jan - 2023,Mandi Arrival Quantity (AgMarknet),16698.91,Arrivals,Tonnes
All India,Urad (Dal/Split),Jan - 2023,Mandi Modal Price (AgMarknet),9332.08,Prices,Rs/Qtl
All India,Urad (Dal/Split),Feb - 2023,Mandi Modal Price (AgMarknet),9395.87,Prices,Rs/Qtl
All India,Urad (Dal/Split),Feb - 2023,Mandi Arrival Quantity (AgMarknet),15590.19,Arrivals,Tonnes
All India,Urad (Dal/Split),Mar - 2023,Mandi Arrival Quantity (AgMarknet),16614.58,Arrivals,Tonnes
All India,Urad (Dal/Split),Mar - 2023,Mandi Modal Price (AgMarknet),9357.66,Prices,Rs/Qtl
All India,Urad (Dal/Split),Apr - 2023,Mandi Arrival Quantity (AgMarknet),10994.74,Arrivals,Tonnes
All India,Urad (Dal/Split),Apr - 2023,Mandi Modal Price (AgMarknet),9551.02,Prices,Rs/Qtl
All India,Urad (Dal/Split),May - 2023,Mandi Modal Price (AgMarknet),9691.35,Prices,Rs/Qtl
All India,Urad (Dal/Split),May - 2023,Mandi Arrival Quantity (AgMarknet),14208.01,Arrivals,Tonnes
All India,Urad (Dal/Split),Jun - 2023,Mandi Arrival Quantity (AgMarknet),14391.22,Arrivals,Tonnes
All India,Urad (Dal/Split),Jun - 2023,Mandi Modal Price (AgMarknet),10112.13,Prices,Rs/Qtl
All India,Urad (Dal/Split),Jul - 2023,Mandi Arrival Quantity (AgMarknet),11930.31,Arrivals,Tonnes
All India,Urad (Dal/Split),Jul - 2023,Mandi Modal Price (AgMarknet),10074.0,Prices,Rs/Qtl
All India,Urad (Dal/Split),Aug - 2023,Mandi Arrival Quantity (AgMarknet),12699.9,Arrivals,Tonnes
All India,Urad (Dal/Split),Aug - 2023,Mandi Modal Price (AgMarknet),10417.79,Prices,Rs/Qtl
All India,Urad (Dal/Split),Sep - 2023,Mandi Modal Price (AgMarknet),10329.32,Prices,Rs/Qtl
All India,Urad (Dal/Split),Sep - 2023,Mandi Arrival Quantity (AgMarknet),12654.57,Arrivals,Tonnes
All India,Urad (Dal/Split),Oct - 2023,Mandi Arrival Quantity (AgMarknet),13004.92,Arrivals,Tonnes
All India,Urad (Dal/Split),Oct - 2023,Mandi Modal Price (AgMarknet),10871.69,Prices,Rs/Qtl
All India,Urad (Dal/Split),Nov - 2023,Mandi Modal Price (AgMarknet),8737.63,Prices,Rs/Qtl
All India,Urad (Dal/Split),Nov - 2023,Mandi Arrival Quantity (AgMarknet),15047.15,Arrivals,Tonnes
All India,Urad (Dal/Split),Dec - 2023,Mandi Arrival Quantity (AgMarknet),9412.02,Arrivals,Tonnes
