State,Crop Year Code,Crop Year,Estimation Cycle Code,Estimation Cycle,Season Code,Season,Crop Code,Crop,Value,Unit Of Measure,Metric,Source
All India,2016,2016-17,5,Final Estimate,99999,Total,4,Bajra,74.59,Lakh Ha,Area,DA&FW
All India,2016,2016-17,5,Final Estimate,99999,Total,4,Bajra,97.3,Lakh Tonnes,Production,DA&FW
All India,2017,2017-18,5,Final Estimate,99999,Total,4,Bajra,74.81,Lakh Ha,Area,DA&FW
All India,2017,2017-18,5,Final Estimate,99999,Total,4,Bajra,92.09,Lakh Tonnes,Production,DA&FW
All India,2018,2018-19,5,Final Estimate,99999,Total,4,Bajra,71.05,Lakh Ha,Area,DA&FW
All India,2018,2018-19,5,Final Estimate,99999,Total,4,Bajra,86.64,Lakh Tonnes,Production,DA&FW
All India,2019,2019-20,5,Final Estimate,99999,Total,4,Bajra,75.43,Lakh Ha,Area,DA&FW
All India,2019,2019-20,5,Final Estimate,99999,Total,4,Bajra,103.63,Lakh Tonnes,Production,DA&FW
All India,2020,2020-21,5,Final Estimate,99999,Total,4,Bajra,76.52,Lakh Ha,Area,DA&FW
All India,2020,2020-21,5,Final Estimate,99999,Total,4,Bajra,108.63,Lakh Tonnes,Production,DA&FW
All India,2021,2021-22,5,Final Estimate,99999,Total,4,Bajra,68.41,Lakh Ha,Area,DA&FW
All India,2021,2021-22,5,Final Estimate,99999,Total,4,Bajra,97.81,Lakh Tonnes,Production,DA&FW
All India,2022,2022-23,5,Final Estimate,99999,Total,4,Bajra,75.72,Lakh Ha,Area,DA&FW
All India,2022,2022-23,5,Final Estimate,99999,Total,4,Bajra,114.31,Lakh Tonnes,Production,DA&FW
All India,2023,2023-24,5,Final Estimate,99999,Total,4,Bajra,73.75,Lakh Ha,Area,DA&FW
All India,2023,2023-24,5,Final Estimate,99999,Total,4,Bajra,107.16,Lakh Tonnes,Production,DA&FW
All India,2024,2024-25,3,Third Advance Estimates,99999,Total,4,Bajra,72.1,Lakh Ha,Area,DA&FW
All India,2024,2024-25,3,Third Advance Estimates,99999,Total,4,Bajra,108.63,Lakh Tonnes,Production,DA&FW
All India,2025,2025-26,1,First Advance Estimates,99999,Total,4,Bajra,65.57,Lakh Ha,Area,DA&FW
All India,2025,2025-26,1,First Advance Estimates,99999,Total,4,Bajra,96.48,Lakh Tonnes,Production,DA&FW
