State,Crop Year Code,Crop Year,Estimation Cycle Code,Estimation Cycle,Season Code,Season,Crop Code,Crop,Value,Unit Of Measure,Metric,Source
All India,2016,2016-17,5,Final Estimate,99999,Total,1,Rice,439.93,Lakh Ha,Area,DA&FW
All India,2016,2016-17,5,Final Estimate,99999,Total,1,Rice,1096.98,Lakh Tonnes,Production,DA&FW
All India,2017,2017-18,5,Final Estimate,99999,Total,1,Rice,437.74,Lakh Ha,Area,DA&FW
All India,2017,2017-18,5,Final Estimate,99999,Total,1,Rice,1127.58,Lakh Tonnes,Production,DA&FW
All India,2018,2018-19,5,Final Estimate,99999,Total,1,Rice,441.56,Lakh Ha,Area,DA&FW
All India,2018,2018-19,5,Final Estimate,99999,Total,1,Rice,1164.78,Lakh Tonnes,Production,DA&FW
All India,2019,2019-20,5,Final Estimate,99999,Total,1,Rice,436.62,Lakh Ha,Area,DA&FW
All India,2019,2019-20,5,Final Estimate,99999,Total,1,Rice,1188.7,Lakh Tonnes,Production,DA&FW
All India,2020,2020-21,5,Final Estimate,99999,Total,1,Rice,457.69,Lakh Ha,Area,DA&FW
All India,2020,2020-21,5,Final Estimate,99999,Total,1,Rice,1243.68,Lakh Tonnes,Production,DA&FW
All India,2021,2021-22,5,Final Estimate,99999,Total,1,Rice,462.79,Lakh Ha,Area,DA&FW
All India,2021,2021-22,5,Final Estimate,99999,Total,1,Rice,1294.71,Lakh Tonnes,Production,DA&FW
All India,2022,2022-23,5,Final Estimate,99999,Total,1,Rice,478.32,Lakh Ha,Area,DA&FW
All India,2022,2022-23,5,Final Estimate,99999,Total,1,Rice,1357.55,Lakh Tonnes,Production,DA&FW
All India,2023,2023-24,5,Final Estimate,99999,Total,1,Rice,478.28,Lakh Ha,Area,DA&FW
All India,2023,2023-24,5,Final Estimate,99999,Total,1,Rice,1378.25,Lakh Tonnes,Production,DA&FW
All India,2024,2024-25,3,Third Advance Estimates,99999,Total,1,Rice,514.23,Lakh Ha,Area,DA&FW
All India,2024,2024-25,3,Third Advance Estimates,99999,Total,1,Rice,1490.74,Lakh Tonnes,Production,DA&FW
All India,2025,2025-26,1,First Advance Estimates,99999,Total,1,Rice,441.7,Lakh Ha,Area,DA&FW
All India,2025,2025-26,1,First Advance Estimates,99999,Total,1,Rice,1245.04,Lakh Tonnes,Production,DA&FW
