State,Crop Year Code,Crop Year,Estimation Cycle Code,Estimation Cycle,Season Code,Season,Crop Code,Crop,Value,Unit Of Measure,Metric,Source
All India,2016,2016-17,5,Final Estimate,99999,Total,2,Wheat,307.85,Lakh Ha,Area,DA&FW
All India,2016,2016-17,5,Final Estimate,99999,Total,2,Wheat,985.1,Lakh Tonnes,Production,DA&FW
All India,2017,2017-18,5,Final Estimate,99999,Total,2,Wheat,296.51,Lakh Ha,Area,DA&FW
All India,2017,2017-18,5,Final Estimate,99999,Total,2,Wheat,998.7,Lakh Tonnes,Production,DA&FW
All India,2018,2018-19,5,Final Estimate,99999,Total,2,Wheat,293.19,Lakh Ha,Area,DA&FW
All India,2018,2018-19,5,Final Estimate,99999,Total,2,Wheat,1035.96,Lakh Tonnes,Production,DA&FW
All India,2019,2019-20,5,Final Estimate,99999,Total,2,Wheat,313.57,Lakh Ha,Area,DA&FW
All India,2019,2019-20,5,Final Estimate,99999,Total,2,Wheat,1078.61,Lakh Tonnes,Production,DA&FW
All India,2020,2020-21,5,Final Estimate,99999,Total,2,Wheat,311.25,Lakh Ha,Area,DA&FW
All India,2020,2020-21,5,Final Estimate,99999,Total,2,Wheat,1095.87,Lakh Tonnes,Production,DA&FW
All India,2021,2021-22,5,Final Estimate,99999,Total,2,Wheat,304.59,Lakh Ha,Area,DA&FW
All India,2021,2021-22,5,Final Estimate,99999,Total,2,Wheat,1077.42,Lakh Tonnes,Production,DA&FW
All India,2022,2022-23,5,Final Estimate,99999,Total,2,Wheat,314.01,Lakh Ha,Area,DA&FW
All India,2022,2022-23,5,Final Estimate,99999,Total,2,Wheat,1105.54,Lakh Tonnes,Production,DA&FW
All India,2023,2023-24,5,Final Estimate,99999,Total,2,Wheat,318.33,Lakh Ha,Area,DA&FW
All India,2023,2023-24,5,Final Estimate,99999,Total,2,Wheat,1132.92,Lakh Tonnes,Production,DA&FW
All India,2024,2024-25,3,Third Advance Estimates,99999,Total,2,Wheat,327.61,Lakh Ha,Area,DA&FW
All India,2024,2024-25,3,Third Advance Estimates,99999,Total,2,Wheat,1175.07,Lakh Tonnes,Production,DA&FW
