Crop,State,Crop Year,Metric,Value,Unit Of Measure,Source
Bajra,All India,2016-17,Production,97.3,Lakh Tonnes,DA&FW
Bajra,All India,2016-17,Production Variation %,,,DA&FW
Bajra,All India,2017-18,Production,92.09,Lakh Tonnes,DA&FW
Bajra,All India,2017-18,Production Variation %,-5.35,,DA&FW
Bajra,All India,2018-19,Production,86.64,Lakh Tonnes,DA&FW
Bajra,All India,2018-19,Production Variation %,-5.92,,DA&FW
Bajra,All India,2019-20,Production,103.63,Lakh Tonnes,DA&FW
Bajra,All India,2019-20,Production Variation %,19.6,,DA&FW
Bajra,All India,2020-21,Production,108.63,Lakh Tonnes,DA&FW
Bajra,All India,2020-21,Production Variation %,4.83,,DA&FW
Bajra,All India,2021-22,Production,97.81,Lakh Tonnes,DA&FW
Bajra,All India,2021-22,Production Variation %,-9.97,,DA&FW
Bajra,All India,2022-23,Production,114.31,Lakh Tonnes,DA&FW
Bajra,All India,2022-23,Production Variation %,16.88,,DA&FW
Bajra,All India,2023-24,Production,107.16,Lakh Tonnes,DA&FW
Bajra,All India,2023-24,Production Variation %,-6.26,,DA&FW
Bajra,All India,2024-25,Production,108.63,Lakh Tonnes,DA&FW
Bajra,All India,2024-25,Production Variation %,1.37,,DA&FW
Bajra,All India,2025-26,Production,96.48,Lakh Tonnes,DA&FW
Bajra,All India,2025-26,Production Variation %,-11.19,,DA&FW
